学校名称,专业中文名称,专业原名称（官网名称）,内容
海德堡大学,经济学 ,Economics,"1.	官网：https://www.uni-heidelberg.de/en/study/all-subjects/economics
2. 授课语言：英语 雅思6.5
3. 申请日期：仅冬季 5月15日到6月15日
4. 申请方式：网申
5. 申请材料：经济学学士证明，英语证书
6. 匹配度说明+选拔标准：
a）本科所学内容（比如，经济学，国民经济学），至少经济学占总学科的40%，或
b）数学，物理，计算机科学和统计学学位课程有35ECTS的经济学辅修内容
选拔标准由申请委员会决定，以GPA排名（若能证明自己成绩排名前10%，一样成立）。且GPA必为2.7以上。
  
外，查看其对应的本科学习内容：
https://backend.awi.uni-heidelberg.de/de/dokumente/modulhandbuch-bsc-volkswirtschaftslehre/download
 
①　经济学入门 8 CP
②　数学基础 10 CP
③　宏观经济学 8CP
④　公司治理 8 CP
⑤　统计学的一般方法 6LP
⑥　经济学专业模块 36 CP
⑦　经济政策 6LP
⑧　经济与社会统计 6 CP
⑨　微观经济学 6CP
⑩　宏观经济学 6CP
11　经济研究 
12　公共财政 6 LP
3. 硕士学习内容：
主要方向有：
①　发展经济学
②　行为经济学
③　环境经济学
④　宏观经济学与金融计量经济学
⑤　分析经济学
https://backend.uni-heidelberg.de/en/documents/modulhandbuchvwleconomicsmsctracks20220605/download
 
高级微观经济学
高级宏观经济学
高级计量经济学
高级数学
发展经济学 I.
发展经济学 II
实验方法
环境经济学
宏观经济学和金融计量经济学选修课程。
分析经济学
发展经济学
行为经济学
宏观经济学和金融计量经济学
环境经济学
"
图宾根大学,经济学   ,Economics," 英语授课 雅思6
1. 官网：
https://uni-tuebingen.de/en/fakultaeten/wirtschafts-und-sozialwissenschaftliche-fakultaet/faecher/fachbereich-wirtschaftswissenschaft/wirtschaftswissenschaft/studium/studiengaenge/master/msc-economics/
2. 授课语言：英语B2 雅思6
3. 申请日期：3月1日至7月15日
4. 申请方式：官网申请：
https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces?page=Application/Registration
5. 申请材料：正常硕士申请材料
6. 匹配度说明+选拔标准：
①　要求绩点至少为2.5.
②　同时学习内容必须包括：微观经济学宏观经济学和定量方法（统计学/数学/计量经济学），并且提供自测网站：
https://cornell.qualtrics.com/jfe/form/SV_1MSw5YeNznqEaKG
本科的学习内容： 
③　经济学入门
④　经济学数学方法
⑤　宏观经济学 I
⑥　微观经济学 I
⑦　探索性数据分析
⑧　概率与风险
⑨　投资与融资
⑩　工作、个人与组织
11　微观经济学 II
12　宏观经济学 II
13　经济政策专题 I
14　行动中的经济学
15　国际经济组织
16　国际货币与金融
17　国际发展经济学和经济史
18　国际经济史专题
19　国际经济专题 I
20　国际贸易理论与政策 A
21　国际贸易理论与政策 B
22　探索性数据分析
23　风险与机遇
24　经济学和工商管理中的定量方法
25　应用计量经济学
26　使用 Stata 的计算计量经济学
27　面板数据实证分析
7. 硕士学习内容：
同时可以选择诺丁汉双学位，（同时学生需要向诺丁汉大学支付学费）
学习领域：
经济历史与发展
实证方法与数据分析
国际经济学
"
图宾根大学,管理与经济学,Management and Economics,"官网
https://uni-tuebingen.de/studium/studienangebot/verzeichnis-der-studiengaenge/detail/course/management-and-economics-master/
1.	授课语言：英语B2；雅思6.5/托福80
2.	申请日期：Only 冬季学期，3月1日-5月15日
3.	申请方式：网申
https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces?page=Application/Registration
4.	申请材料：动机信，一页以内
5.	匹配度说明
①　微观经济学（例如博弈论、产业组织或决策理论）
②　定量方法（数学、统计学、计量经济学）
③　要求本科成绩为德国绩点2.5及以上。
查看其本科学习内容：

工商管理入门；数学方法；经济学概论；概率与风险；投资与融资；微观经济学；宏观经济学；内部会计；经济学与工商管理；劳动、人事，组织；
选拔标准:入围申请人的zoom线上面试定于6月中旬，Zu 预计6月底-7月初
6.	硕士学习内容
 
管理经济学
博弈论
高级微观经济学
人事经济学
工业组织
行为经济学
税收经济学
https://uni-tuebingen.de/securedl/sdl-eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2OTMwODA0ODcsImV4cCI6MTY5MzE3MDQ4NiwidXNlciI6MCwiZ3JvdXBzIjpbMCwtMV0sImZpbGUiOiJmaWxlYWRtaW5cL1VuaV9UdWViaW5nZW5cL0Zha3VsdGFldGVuXC9XaXdpXC9Eb2t1bWVudGVcL1N0dWRpdW1cLzIwMjMtMDMtMjhfTUhCX01hc3Rlci5wZGYiLCJwYWdlIjozMTA3NX0.qefBjWz9Xl4x3--CRx3kw_npRJVXo3hlPsKca6O9A2g/2023-03-28_MHB_Master.pdf

"
德累斯顿工业大学,交通经济学,Transportation Economics ,"1.官网：
https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_studiengang?autoid=31374 
2. 授课语言：英语，雅思5.5，托福72
3. 是否NC：否
4. 申请日期：only 冬季学期01.04 - 31.05
5. 申请方式：通过Uni assist申请 
6. 申请材料：无特殊
7. 匹配度说明+选拔标准：
https://tu-dresden.de/bu/verkehr/studium/studienangebot/transportation-economics-master/eignungsfeststellung
1)	完成交通学/经济学/STEM（数学、计算机、自然科学和技术）领域或者具有强定量背景的本科学位。需要经济学、工商管理和定量方法（如数学、统计学、计量经济学等）的知识。如果还有数学、计算机科学、自然科学和技术等交叉学科的课程更好。
 
2)	在工商管理（BWL）、经济学（VWL）和定量方法（如数学、统计学、计量经济学、运筹学、编程、数据分析）领域，至少需要获得60个ECTS学分。这些学分应该在内容和方面上没有重叠，其中：
 
a.	至少完成经济学模块的15个ECTS。其中包括至少4个ECTS的微观经济学；
b.	至少完成定量方法模块（数学、统计学、计量经济学、编程等）的15个ECTS。其中包括至少4个ECTS的统计学，以及至少4个ECTS来自学科组合运筹学/优化和编程；
c.	从工商管理模块获得至少15个学分
 
3)	如果在定量方法中获得了总共超过30个不重叠的ECTS学分，那么工商管理模块所需的ECTS学分要求可以减少最多10个ECTS，经济学模块所要求的ECTS学分可以减少最多5个ECTS。（也就是说，经济学只要求10ECTS，工商管理只要求5ECTS）
 
4)	如果申请人不能证明满足上述的匹配度需求，招生委员会将进行面试。

*面试可以现场进行，也可以申请在线进行
选拔标准：
1) 第一阶段：委员会评估申请人的能力是否满足能力倾向测试（专业匹配度）；如果不能从材料中确定是否满足，则举行面试
2) 第二阶段：面试

8. 硕士学习内容
1) 必修部分（25个学分）
2) 在选修领域（95个学分）中，可以从五个方向中选择两个专业方向，从五个研讨课中选择一个，也可以选修交通经济学、经济学、工商管理、交通工程、专业语言等补充内容，也可以选择实习。
选修领域的内容包括：

a. 五个专业方向：
-  计算物流
-  运输政策
-  空间和环境经济学
-  统计
-  运输

b. 研讨课：
-  研究任务（来自于与五个专业相关的五个任务）

c. 补充内容：
-  交通经济学（包括物流决策支持、交通成本效益分析、城市经济学、数据驱动的多元统计、数据分析应用、交通流动力学和模拟）
-  工商管理（包括技术管理、可持续性控制）
-  交通工程（包括交通生态学、心理学和行为经济学的高级问题、码头运营）
-  经济学（包括资源经济学、移民经济学、环境经济学）
-  商业信息学（包括商业工程、知识管理、SAP应用）
-  专业外语交流
"
纽伦堡大学,经济学 ,Economics,"1. 官网：
https://www.fau.eu/education/degree-programmes/international-degree-programmes/degree-programmes-taught-exclusively-in-english/msc-economics/
2. 授课语言：英语，雅思5.5
3. 申请日期：5月1日-5月31日
 英授 雅思5.5
4. 申请方式：网申
https://www.campo.fau.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces
5. 申请材料：
如下所示，常规申请材料，无特殊
 
建议提交：实习证明；交换证明；德语成绩（如果有）
 
6. 匹配度说明+选拔标准：
①　绩点，德国算法不低于2.89
②　至少40ECTS的经济学和定量课程（不包括商业或金融课程）
③　英语B2
④　不超过 2 页的英文申请信（字体 = Arial，字号 = 11 pt，行距 1.5，页边距 1.5，文件格式 = pdf），概述对该学习计划相关的资格，特别强调对必修模块的准备情况以及计划重点学习的专业方向
 不符合以上要求直接拒绝
选拔流程：学位是
①　所有其他商学和经济学学士学位
②　数学学士学位
③　社会科学或行为科学学士学位 
④　自然科学学士学位
⑤　工程学学士学位
⑥　商法（学士）学位
在经济学、数学、统计学或计量经济学领域获得少于 40 个 ECTS 学分的申请人不会被考虑
 
 
在第二阶段至少获得 70 分的申请人将收到确认函，证明他们已成功通过资格评估程序
在第二阶段获得至少 60 分但少于 70 分的申请人将被邀请参加第三阶段
在第二阶段获得少于 60 分的申请人将收到一份拒绝通知

第二阶段包括：
第一学位的成绩单，从2.8-1.9，获得3-30分，
具体学科的资格、知识和技能：最高60分
A) 经济学模块学分达到25-75ECTS，获得0-25分
 B) 数学计量模块学分达到25-75ECTS，获得0-25分
C) 动机信模块，最高10分
D) 下列各项最多可得 10 分：
a) 在国外的相关停留时间可得 3 分；
b) 相关实习可得 2 分；
c) 英语熟练程度超过要求的 B2 级，可获得 5 分；
d) 基于申请信的语言能力和沟通技巧，根据以上评分标准，最多可得 10 分：
 
第三阶段：面试时间约为 20 分钟；申请人的讨论技巧和学以致用的能力将受到评估

7. 硕士学习内容：
 
必修课： 
六门必修课程（全部用英语授课）
包括《经济学家数学》、《应用计量经济学》、《微观经济学》、《博弈论》、《宏观经济学：经济学》和《宏观经济学：商业周期》
选修课：
 
- 劳动经济学： 从不同角度探索劳动经济学领域。学习理论模型，深入研究当前有关劳动力市场问题的实证工作，并学习如何应用实证研究工具来研究劳动力市场政策。

- 宏观经济学与金融学： 该专业领域包含宏观经济学、应用计量经济学和金融学。包含的课程涵盖货币政策、国际经济学或银行学等主题，以及时间序列计量经济学或宏观建模等方法。该专业为在中央银行、商业银行、国际组织和学术研究机构工作做好准备。

- 公共经济学： 该专业领域侧重于分析税收制度和政府支出、公共财政和公共政策，以及区域、城市和发展经济学。运用微观经济理论和现代数据分析方法来评估各种政策。

- 能源市场： 该专业领域研究能源市场的相关方面，如市场设计、向低碳系统的能源转型以及气候政策。这些问题不仅将从理论角度进行探讨，还将使用实证方法，如计算、计量经济学和行为/实验方法。

- 卫生经济学：生从微观经济角度研究医疗服务的供求关系。医疗服务的供求关系。将探索各种市场，学习如何优化设计医疗保健系统。
https://www.wiso.rw.fau.de/files/2023/09/MHB-MSE-WS2324.pdf
"
耶拿大学,经济学 ,Economics,"1. 官网
https://www.uni-jena.de/en/msc-economics
2. 授课语言：英语B2，雅思6.0
3. 申请日期：冬季：4.1-7.15
 4. 申请方式：网申
https://friedolin2.uni-jena.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y&noDBAction=y&init=y
5. 申请材料：无特殊
 6. 课程匹配度+选拔标准：
1) GPA2.5或者申请人排名前65%
2) 经济学模块至少30ECTS，数学至少6ECTS，统计学至少6ECTS，选拔标准：如果申请人数量超过了可录取席位，委员会将根据成绩选拔

 查看其对应的本科学习内容：
https://friedolin.uni-jena.de/download/modulkataloge/de/82_184_vwl.pdf
	运营管理基础模块
	运营管理高级模块
	高级模块 计算机辅助规划与优化
	高级模块 编程入门
	基础模块 营销管理基础
	高级模块 服务管理
	高级模块 创新管理
	经济学家数学基础模块
	公司财务基础模块
	高级模块 个人理财
	行为金融研讨会
	组织、领导和人力资源管理基础模块
	高级模块 组织、组织行为、领导与人力资源管理
	人力资源管理
	基础模块 税收/审计
	税务高级模块
	税务/审计研讨会
	审计专业模块
	会计基础模块
	会计与控制基础模块
	高级会计模块
	管理学基础模块
	高级模块 国际管理
	战略/国际管理研讨会
	关于战略和国际管理当前主题的研讨会
	规划与决策基础模块
	高级模块 管理科学
	高级模块 控制
	微观经济学基础模块
	创新经济学高级模块
	微观经济学研讨会
	宏观经济学基础模块
	高级模块 商业周期、增长和对外贸易
	宏观经济学研讨班
	基础单元：市场、竞争和监管
	高级模块：创业、市场动态和经济发展
	企业发展、创新和经济变革研讨会
	高级模块：气候与可持续性
	经济学导论基础模块
	金融基础模块
	金融专业模块
	金融研讨会
	实证与实验经济研究基础模块
	定量经济理论高级模块
	实证和实验经济研究研讨班
	经济政策基础
	高级单元 对外贸易与发展
	经济政策研讨班
	基础模块 统计学
	高级模块 机器学习：导论
	高级模块 应用统计学
	高级模块：经济学中的统计模型和方法
	经济学
	基础模块 企业资源规划
	基础模块 信息系统导论
	高级模块 数据库导论
	专业模块 数据、信息和知识管理
	高级模块 软件和信息技术管理
	电子商务高级模块
	商业分析专业模块
	高级模块 网络编程
	数字经济实践模块
	经济学家法律基础模块
	经济学家外语基础模块
	工商管理基础与展望基础模块
7. 硕士学习内容
https://friedolin.uni-jena.de/download/modulkataloge/de/88_684_Econom_2016.pdf
"
维尔茨堡大学,国际经济政策,International Economic Policy,"1. 官网：
https://www.wiwi.uni-wuerzburg.de/studium/master/international-economic-policy/
2. 授课语言：英语B2 6.0，德语A2的证书在第三学期之后补交
 3. 申请日期：冬季：7.15ddl；夏季，1.15ddl
 4. 申请方式：
1）uni-assist申请vpd
2）网申：
https://wuestudy.zv.uni-wuerzburg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces
5. 申请材料：无特殊
6. 课程匹配度+选拔标准：
 在 JMU 或德国或国外的其他高等教育机构获得学士学位（180 ECTS 学分）
在下列领域已获得能力的证明，达到每种情况下的最低限度：
①　数学、统计学、计量经济学和以应用为导向的商业信息学领域至少 20 个 ECTS 学分的模块能力，其中数学、统计学、计量经济学领域至少 15 个 ECTS 学分必须得到证明
②　至少 30 个 ECTS 学分的经济学模块能力，尤其是以下核心领域的能力： 经济学基础（导论）；微观经济学；宏观经济学；经济政策
③　至少 35 个 ECTS 学分的经济学模块能力，尤其是以下核心领域的模块能力： 工商管理基础（导论）；微观经济学；宏观经济学；经济政策： 工商管理基础（导论）；外部和内部会计；采购、生产与物流；投资与融资；以市场为导向的企业管理；创新与企业管理；经济学基础（导论）
7. 硕士学习内容：
https://www.wiwi.uni-wuerzburg.de/fileadmin/12000000/2022/IEP_Unterlagen_Webseite/Subject_description_IEP_English.pdf
 必修：
高级宏观经济学
高级微观经济学
计量经济学 1
战略决策与竞争
政策评估方法
商业周期
 
核心专业选修课：
高级宏观经济学
高级微观经济学
计量经济学 1
战略决策与竞争
政策评估方法
计量经济学 3
金融市场计量学
金融市场数据分析
微观经济计量学
市场研究与需求分析
DSGE 模型
高级计算经济学
实验经济学
"
美因茨大学 ,经济学与管理学中的量化决策,Quantitative Decision Making in Economics and Management,"英授 雅思5.5
1. 官网
https://www.studium.uni-mainz.de/studienwahl/studienangebot/quantitative-decision-making-in-economics-and-management-m-sc/
2. 授课语言：英语B2，雅思5.5
 3. 申请日期：
 4. 申请方式：网申（之前一直是两轮录取，目前一轮）
5. 申请材料：无特殊
6. 课程匹配度+选拔标准：
 - 数学/统计学/经济计量学/（定量）实证经济研究 19 ECTS，
- 管理学/经济学 18 个 ECTS 学位
有在线入学考试，考试类型如下：
https://en.wiwi.uni-mainz.de/files/2023/09/Entrance_Test.pdf

7. 硕士学习内容：
 第一学期（冬季学期，30 ECTS）的核心模块提供了数学、统计学、经济决策制定和编程方面的基本方法技能
	数学/统计学
	程序设计
	截面和面板数据计量经济学
	运筹学
	经济决策与战略互动
 
三个方向：
计量经济学：
	微观计量经济学 A
	微观计量经济学 B
	高级时间序列分析
	计算统计入门
	微观数据的经济分析
	数据管理
	官方统计与调查
	统计方法
	官方统计与调查方法
	信息和数据保护法

管理科学与商业智能：
	收入管理
	数据分析
	数据库系统/信息 系统
	智能信息系统
	位置规划与网络设计
	流程挖掘
	编程操作
	研究模型与方法
	运输物流 I
	运输物流 II

经济行为与战略：
	高级企业财务
	高级数字经济学
	行为与实验经济学
	行为金融学
	行为测量学
	教育经济学
	劳动力市场理论
	环境经济学专题
"
曼海姆大学 ,经济学 ,Economics,"1. 官网：
https://www.uni-mannheim.de/en/academics/programs/masters-program-in-economics/#c27780
2. 授课语言：雅思6
 3. 申请日期：冬季：4.1-5.15
 4. 申请方式：网申
5. 申请材料：无特殊
6. 课程匹配度+选拔标准：
 申请者需拥有经济学学士学位或同等学士学位，并符合以下条件
(1)	至少 180 个 ECTS 学分或至少 6 个学期的标准学习年限
(2)	应在 2.5 分或以上（德国评分系统）
(3)	工商管理、社会科学、政治学或数学等邻近专业的学位也可申请；社会科学、政治学或数学等相邻专业的学位只有在满足以下最低要求的情况下，才可以尝试：
①　在与经济学、金融学、数学或统计学相关的课程中至少获得 60 个 ECTS 学分（或同等学分）
②　已成功修读以下经济学领域的入门模块：宏观经济学、微观经济学和计量经济学
 
选拔标准：
1）成绩GPA，满分15分。1.0是15分，2.5是0分，其余等级之间的分数按 0.1 为单位线性计算，并四舍五入。
2）动机信，7分；申请人还必须解释其第一学位与所选硕士专业之间的联系；不得超过 2 DIN A4 页，字体为 12 号；不超过2页
3）学术论文，满分13分。在论文中，必须涉及经济学、计量经济学、经济史或统计学领域中的一个主题或必须应用定量方法。不得超过 25 DIN A4 页，字体大小为 12 号
 
7. 硕士学习内容：
https://www.vwl.uni-mannheim.de/studium/masterstudium/course-catalog/#c129095
 
数学（校内和网课）
高级微观经济学
高级宏观经济学
高级计量经济学
 
Lecture
E526 发展经济学（校内）
E5008 经济政策与金融体系
E5026 Stata编程
E5040 影响评估与因果推论
E5049 宏观经济学和劳动力市场专题
E5064 竞争政策中的实证方法
E5070 社会保险和劳动力市场政策经济学
E5086 中国经济
E5090 互联网经济学
E5100 经济史专题
E5116 经济学家编程课程
E5119 空间数据管理与分析
 
研讨会
E5060 跨学科竞争与监管研讨会（仅限 CaRE 学生）
E568 国际宏观经济学
E574 互联网经济学
E599 实证环境经济学
E5009 宏观经济学异质性专题
E5106 历史经济发展
E5113 最佳矫正税和禁令
E5120 计量经济学专题
E5121 人事经济学： 了解人力资源数据
E5122 绿色金融
"
霍恩海姆大学,国际商务与经济学 ,international business and economics,"1. 官网：
https://www.uni-hohenheim.de/international-business-and-economics-master-studium
2. 授课语言：英语，雅思6
3. 申请日期：冬季5.15ddl，夏季1.15ddl
 4. 申请方式：网申
5. 申请材料：无特殊
6. 课程匹配度+选拔标准：
 至少为期三年的经济学领域的大学学位课程；在国外大学攻读学位课程，并获得至少三年制管理学和/或经济学学士学位
 
评估按 1-100 分制进行
 （经济学和社会科学硕士学位课程测试）是评估成功完成经济学和社 会科学硕士学位课程所需的技能的测试；GMAT；GRE
绩点：从4.0-1.0可以获得10-100分，占比60%
 TM-WISO/GRE / GMAT从10%-100%可获得10-100分，占比 40%
7. 硕士学习内容：
https://www.uni-hohenheim.de/fileadmin/uni_hohenheim/Studiengaenge/WiSo/Master/ibe/SP_msc_ibe_en.pdf
 
商业和经济学计量经济学方法（6 学分）
战略经济学和企业理论（6 学分）
商业经济学数学方法（6 学分）
商业研究中的定性方法（6 学分）

计量经济学、战略经济学与企业、商业数学方法、商业研究的定性方法、创新经济学、国际创业管理、创业、创新战略与网络、国际金融、跨国公司管理、全球化与历史、国际宏观经济学、国际贸易、资本市场理论、金融中介、金融计量经济学、证券投资、统计学、时间序列计量经济学
选修
数字化转型
医疗保健的数字化转型
税务诉讼法
行为商业伦理
审计
反垄断法导论
所得税
资本市场法研讨会
反垄断诉讼
税法
智慧城市
中小企业的企业继承
理论、方法和实践
金融中的数字市场
银行法
企业并购
健康经济学先进的产业组织
消费者行为
实证公共经济学
劳动经济学
"
