学校名称,专业中文名称,专业原名称（官网名称）,内容
慕尼黑工业大学,电气工程与信息技术,Elektrotechnik und Informationstechnik,"1. 官网：
    
    https://www.tum.de/studium/studienangebot/detail/elektrotechnik-und-informationstechnik-master-of-science-msc
    
2. **申请日期：**
    
    冬季学期：04.01-05.31
    
    夏季学期：10.01-11.30
    
3. **语言：**德语（德福16/DSH2）
4. **匹配度说明和选拔标准：**
    
    采取百分制打分，总分>=75分则直接录取,60<=总分<=74则进入面试环节，sum<=59则直接拒绝。
    
    那么分数是如何构成的？
    
    Sum=A+B+C+D，其中ABCD由以下方法计算得到：
    
    A：**数学学分，每一学分得1分，最高32学分得32分，即：A最多是32分**
    
    B：**物理学分**，每一学分得0.625分，最高24学分得15分，即：B最多是15分，
    
    C：**电子信息专业课学分**，每一学分得大约0.375分，最高94学分得23分，即：C最多是23分
    
    D：统计当前算术平均成绩对应的巴伐利亚算法（以VPD给出的成绩为准，此外VPD的计算方法会使最终得分略好于理论得分，大约相差0.2，这是由于VPD舍弃了一部分课程所决定的），最终得分每比4.0小0.1，得一分，**最高1.0得30分**。
    
5. **第二轮面试**
    
    面试时间20-30分钟，考察以下三个部分
    
    - 第一部分：特别的学术能力，例如证明自己的学术进展，学科中的能力（如VDE,IEEE,EESTEC的成员或在这些组织的工作），特殊的目的感证明（相关的额外实习，相关的实习经历，以前的专业活动与学位课程的关系)，证明对研究型工作有特殊兴趣或具体经验(在以前的学习中的特别研究方向，参与的研究项目）
    - 第二部分：适合性，例如介绍以前的专业知识，在本科学位课程中获得的能力符合之前匹配度的表，毕业论文的主题
    - 第三部分：交流能力，清楚、流畅地介绍和讨论，准确地表达自己的想法和意见，准确回答关于第一学位或学习重点的问题，并且是以容易理解理解的方式回答的。关于学术主题或关于候选人自身能力和期望的问题有令人信服的论据和有意义的例子来证明
    - 第一部分占比20%，第二部分占比50%，第三部分占比30%
6. **学习方向：**
    
    八个核心领域：自动化与机器人，生物工程和神经工程，交互工程，电路和电子系统，电磁/微波工程/测量，嵌入式和计算机系统，微电子和纳米电子，能源工程
    

https://www.cit.tum.de/fileadmin/w00byx/cit/Studium/Studiengaenge/Master_Elektrotechnik_Informationstechnik/Modulliste_MSEI.pdf

https://www.cit.tum.de/fileadmin/w00byx/cit/Studium/Studiengaenge/Master_Elektrotechnik_Informationstechnik/bisher_anerkannte_Module_der_ausserfachlichen_Ergaenzung.pdf"
慕尼黑工业大学,计算机,Informatik,"**官网：**

https://www.tum.de/studium/studienangebot/detail/informatik-master-of-science-msc

**授课语言：**英语B2，雅思6.5

**申请日期：**

- 冬季学期：1-5.31
- 夏季学期：1-11.30

**匹配度**

第一轮：

要求的书面申请文件进行评估

**学分：**

计算机科学基础
计算机科学、算法和数据结构、数据库、计算机体系结构、软件工程、操作系统和系统软件、计算机网络和分布式系统简介，达到50学分，获得20分

理论计算机科学领域的技术基础，达到8学分，获得10分

功能编程和验证领域的技术基础，达到5学分，获得10分

数学基础模块（离散结构、线性代数、分析、离散概率理论、数值编程）达到28学分，获得10分

---

**如果确定在获得的学分没有显着差异，则最多获得 50分。**

成绩：

对于平均 120 个学分，优于 2.3的成绩每十分之二获得一分。

最多获得7分

匹配度+成绩 大于等于51通过能力测试，被录取，低于45则被拒绝，在45-50内，进入第二轮筛选

二轮筛选

**1、动机信**

书面理由的评分范围为 0 到 24 分。根据以下标准进行评估：

1. 特殊的执行意愿：

提供超出第一学位获得的知识和资格的相关资格，例如特定课程的职业培训、实习、留在国外

1. 特别适用：个人适合性与课程内容之间关系的结构化表示。

3 两名遴选委员会成员独立评估这两个标准中的每一个，这些标准的权重相等。

4 点数由个别评估的算术平均值得出，四舍五入为整数。

**2，小论文**

申请人的论文评分为0到27分，论文的内容根据以下标准进行评估：

1. 正式和连贯的结构，
2. 内容的完整性和正确性，论证的连贯性，

3.科学基础。

3 两名遴选委员会成员独立评估三个标准中的每一个，这些标准的权重相同。

4 点数由个别评估的算术

平均值得出，四舍五入为整数。

如果所得分数大于等于85，则通过筛选

如果小于70，则直接被拒绝

**处于70-85的同学需要参加笔试测试：**

委员会将至少提前一周宣布测试日期；笔试成绩评定时间为 90 分钟，包括约 20-30 道题；任务用英语；通过测试，可以了解申请者是否能够独立、负责任地实现学位课程的目标，是否具备满足课程要求的必要常识。

考试内容包括以下几个方面

(a) 一般原理（最高 12 分）：抽象思维能力、逻辑思维能力和系统思维能力，以及将解决方法形式化的能力；

b) 数学基础（最高 13 分）：第一学位课程中随机学、组合学、微积分、线性代数；

c) 计算机科学理论基础（最高 13 分）：第一学位课程中的自动机理论、复杂性 理论、算法和数据结构、验证；

d) 计算机科学实践基础（最高 13 分）：第一学位课程中数据库、计算机结构、 Java 编程等分领域的知识

成绩评估的最高分是 51 分

委员会应在申请阶段开始前至少 14 天宣布考试形式的变化

获得 85 分或以上者即通过能力倾向测验

**硕士学习内容：**

- 算法 (ALG)：能力领域“形式、算法、数学能力”
- 计算机图形和视觉 (CGV)：能力领域“技术能力”和“形式、算法、数学能力”
- 数据库和信息系统（DBI）：能力领域“分析、设计和实施技能”和“技术技能”
- 数字生物学和数字医学（DBM）：能力领域“分析、设计和实施技能”、“技术技能”和“跨学科技能”
- 软件密集型系统 (SE) 工程：能力领域“分析、设计、实施和项目管理技能”和“技术技能”
- 形式方法及其应用 (FMA)：能力领域“形式、算法、数学技能” • 机器学习和数据分析 (MLA)：能力领域“形式、算法、数学技能”
- 计算机体系结构、计算机网络和分布式系统 (RRV)：“技术能力”的能力领域
- 机器人技术 (ROB)：能力领域“技术能力”和“形式、算法、数学能力”
- 安全和数据保护 (SP)：能力领域“形式、算法、数学能力”和“技术能力”"
慕尼黑工业大学,神经工程,Neuroengineering,"网站 : https://www.tum.de/en/studies/degree-
programs/detail/neuroengineering-master-of-science-msc
**语言：**英语，雅思 6.5，托福 8

**匹配度：**

第一阶段，我们评估您的 GPA成绩、学分、动机信和论文。最高得分为 100
分。获得至少 75 分的申请人将被邀请参加面试(第 2 阶段)以进行进一步
评估。

第一阶段的标准如下
1. 学士学位期间的课程(最高获得 35 分)

数学 达到32 学分，获得16分

`科学基础知识(物理学、生物化学、神经科学)`达到45学分，获得9分

`生物工程和医学工程或心理学领域的工程基础知识`，达到40学分，获得10分

1. **成绩学士学位的总体成绩(最高 30 分)**
使用“修正巴伐利亚公式” (TUM 成绩转换工具)进行成绩转换

计算填入学分表的成绩，从 4.0 开始，加权平均分每优于 0.1 分得一分，最
高 30 分

1. **动机信(最高获得25 分)**

1、考核你的知识能力和你的实践经验情况

2、个人动机
3、英语水平

**4. 书面论文(最多 10 分)**

主题 1:“使用石墨烯对神经元活动的远程非遗传光学调节”
主题 2:“基于局部流体动力感应的自组织波动起伏的出现感知”
主题 3:“靶向神经技术恢复脊髓损伤患者的行走”
写一篇 500-600 字的论文
1+2+3+4 大于等于 75 分被通知参加面试

成功通过第一阶段(75 - 100 分)的申请人将被邀请参加能力倾向评估面试

第二阶段:
面试大约 20-30min
1 面试个人动机和情况(0–15 分):
a.是否可以表明学习专业课的能力和情况?
b.对学习的科目感兴趣或者能适应
c.简历中的个人情况
d.有没有之前相关的工作经验
2.之前个人情况的介绍(0 至 40 分):
a.以前的专业知识的介绍(0-10 分)，
b.根据学分表情况(0-25 分)，来判断在本科学位课程中的情况
c.论文情况(0-5 分)。
3.沟通能力(0 至 10 分):
7、硕士课程
https://www.cit.tum.de/cit/studium/studiengaenge/neuroengineering/curriculu
m/

统计学、神经工程中的电子信号、计算神经科学、神经解剖学、大规模建模
和大规模数据分 析 信号处理，动态系统建模神经记录方法 神经启发系统工
程 及选修课程"
慕尼黑工业大学,机电一体化、机器人和生物力学工程,"Mechatronics, Robotics and Biomechanical Engineering ","1. 官网
    
    https://www.tum.de/studium/studienangebot/detail/mechatronics-robotics-and-biomechanical-engineering
    
2. 授课语言：雅思6.5 或者德福16
3. 申请日期：
    
    冬季学期：04.01-05.31
    
    夏季学期：11.01-12.31
    
4. 匹配度说明：
    
    从2023/24冬季学期开始，新生将仅被机电一体化、机器人学和生物机械工程硕士录取
    
    **参考机械本科所学习的内容：**
    
    1. **数学模块 19ECTS**
        
        高等数学 1
        
        高等数学 2
        
        高等数学 3
        
    2. **工程力学模块 12ECTS**
        
        技术力学1
        
        技术力学2
        
        技术力学3
        
    3. **信息技术模块 18ECTS**
        
        现代信息技术基础
        
        数学工具
        
        或机电一体化系统的工业软件开发
        
        系统和用 C++ 实现
        
    4. **控制工程 5ECTS**
    5. **电气工程 5ECTS**
5. 硕士学习内容：
    
    https://www.tum.de/fileadmin/user_upload_87/gi32rab/Mechatronics__Robotics_and_Biomechanical_Engineering_Studiengangsdokumentation_19042023.pdf
    
    选修领域1 “整体系统” 至少10ECTS
    
    - 生产过程的智能系统和机器学习 德语
    - 机械工程 德语
    - 机械工程中的测量和传感器技术 德语
    - 机器人动力学 德语
    - 网络物理系统的概念和软件设计
    - 移动和固定系统的工程方法和数据管理
    - 机电一体化系统工程方法与数据管理
    - 从理论到工业实践--机电一体化系统的高级软件工程
    - 机电一体化系统的高级软件工程
    - 以人为中心的机器人技术基础
    
    选修领域2 “控制过程” 至少10ECTS
    
    - 机电一体化设备技术 德语
    - 现代控制工程方法 1 德语
    - 现代控制工程方法 2 德语
    - 高级控制
    - 高级机器人控制与学习
    - 复杂系统的建模与还原
    - 最优控制与决策
    
    选修领域3 “机械学“ 至少5 ECTS
    
    - 运动技术（德语）
    - 有限元 (德语)
    - 使用 Matlab 和 CAD 进行关节结构的运动学设计 (德语)
    - 齿轮箱--设计和换挡元件
    - 振动测量
    - 工程动力学
    - 多体模拟
    - 多学科设计优化
    
    选修领域4 ""人类与生物力学"" 至少5ECTS
    
    - 数字人体建模：基础（德语）
    - 数字人体建模：高级 (德语)
    - 应用生物机器人学
    - 生物力学：基础与建模 (德语）
    
    选修领域5 ""电气工程，包括电力工程"" 至少5ECTS
    
    - 微技术传感器/执行器（德语）
    - 受控驱动装置中的电气执行器和传感器 - 自主系统（德语）
    - 自主系统
    - 分布式能源系统的电力电子学
    
    选修领域 6 ""计算机科学"" 至少5ECTS
    
    - 人体工程学中的虚拟现实
    - 自动驾驶软件开发
    - 基于物理的机器学习
    - 人工智能基础
    
    如果已获得的能力（学习成果）没有重大差异，则最多可获得 54 分
    
    得分小于30分的不能参加能力倾向测试：
    
    数学""、“技术机械""至少 9 分"
慕尼黑工业大学,机电和机器人,Mechatronik und Robotik,"1. 网址：
    
    https://www.tum.de/studium/studienangebot/detail/mechatronik-und-robotik-master-of-science-msc
    
2. 申请截止日期：
    - 冬季学期：04.01-05.31
    - 夏季学期：11.01-12.31
3. 学制：4学期
4. **语言：德语，德语C1：**DSH2，德福4x4，telc C1 HS，歌德C2
5. 是否NC：否
6. 匹配度说明：
    
    本专业采取打分制录取，满分100分，匹配度占60分，成绩占20分，动机信占20分
    
    匹配度：
    
    1. 高数：19ECTS
    2. 力学：19ECTS
    3. 机械设计：6ECTS
    4. 机械材料：10ECTS
    5. 流体力学：6ECTS
    6. 现代计算机基础：8ECTS
    7. 控制技术：5ECTS
    
    以上匹配度最高获得60分
    
    成绩: 
    
    本科成绩巴伐利亚算法3.0以下每0.1获得1分
    
    动机信
    
    评分标准：正确的语法和词法（2分）逻辑结构和明确的文章架构（3分）对个人兴趣和能力的条理清晰的陈述（5分）动机信中体现出自己能够适应未来学习生活的能力（10分）
    
    以上总分70以上直接录取，50-70进入第二轮，50以下拒绝
    
7. 二轮筛选：
    
    二轮筛选为80分钟笔试，申请者需要展现出所期待的专业能力，考试内容包括高数，力学，机械设计和材料，每部分20分，总分80分。将第二轮分数与第一轮中匹配度得分以及成绩得分相加，总分达到110分则录取。
    
    此外还需要8周实习证明，可以在第二学期结束前补
    
8. 硕士课程
    
    选修方向：总体系统，控制技术，力学，计算机/计算机支持程序，电气以及工程学"
卡鲁工业大学,电气工程和信息技术理学,Electrical Engineering and Information Technology,"1. 官网：
    
    https://www.sle.kit.edu/english/vorstudium/master-electrical-engineering-information-technology.php
    
2. **申请日期：**
    - 冬季学期：9.30截止
    - 夏季学期：3.31截止
3. **语言：**德语（德福16/DSH2）或者英语B2（托福90或雅思6.5且小分5.5）**德语B1可申请**
4. **匹配度说明：**
    
    入学要求完成与 KIT 电气工程和信息技术学士学位课程的内容和范围相对应的学习课程，包括：
    
    - 高等数学
    - 电气工程基础（例如“线性电气网络”、“电磁场”、“电磁波”、“电子电路”）
    - 系统技术（例如“系统动力学和控制技术”、“信号和系统”）
    
    建议补课：信号与系统实验；飞行器结构动力学；信号与系统 ；嵌入式系统
    
    - 数字技术和信息技术
    
    **参考其对应本科课程：**
    
    - 数学+物理40LP，其中数学28LP
    - 电学 51LP
    - 计算机技术 39LP，其中信号与系统 7LP，系统动力学和控制技术 6LP
    - 工业实习或研究实习 10LP
    - 选修22LP
5. **硕士学习内容：**
    
    https://www.etit.kit.edu/rd_download/MHB_MSc18_ETIT_WS23_88-048-H-2018_v1_2023-09-11_de_en.pdf
    
    信号处理
    
    生物医学技术
    
    电动汽车
    
    控制技术
    
    电气驱动和电力电子设备
    
    电子适配
    
    信息与自动化
    
    电力系统和高压技术
    
    光学技术
    
    高频技术
    
    光通信技术
    
    系统工程
    
    消息系统
    
    微电子和纳米电子
    
    通信技术
    
    信息和通信
    
    可再生能源
    
    航空航天设备系统
    
    芯片上的系统
    
    微纳米和光电子学
    
    电力系统和电力管理"
卡鲁工业大学,机电和信息技术,Mechatronik und Informations­technik  ,"1. 官网：
    
    https://www.sle.kit.edu/vorstudium/master-mechatronik-informationstechnik.php
    
2. 学制：4学期
3. 截止时间：冬季学期： 9.30 以前 夏季学期： 3.31 以前
4. 授课语言：德语，德福4×4或DSH-2或歌德C2或Telc C1 HS
5. 是否受限：否
6. 匹配度说明：
- 至少8LP 电气工程
- 至少4LP工程力学
- 至少21分高数（需包含：拉普拉斯变换，多维分析，面积积分，向量分析，偏微分方程，傅里叶理论，随机性）
- 至少6学分控制工程（需包含：连续时间和离散时间信号的研究，控制回路元素，控制回路的分析，单变量系统的控制器设计方法）
1. 硕士课程
    
    120个学分在内容上的分布如下：
    
    必修科目通用机电一体化32 CP
    
    专业模块 35 CP
    
    选修模块 17 CP
    
    关键资格 6 CP
    
    硕士论文30 CP
    
    专业模块可选择：
    
    车辆技术
    
    能源科技
    
    工业自动化
    
    机器人技术
    
    微系统技术
    
    医疗技术
    
    机电一体化控制工程
    
    机电系统建设"
亚琛工业大学,可持续能源供应,Nachhaltige Energieversorgung ,"1. 官网：https://www.rwth-aachen.de/go/id/bnof
2. 学制：4学期
3. 截止时间：
- 冬季学期： 3.1 以前
- 夏季学期： 9.1 以前
1. 授课语言：德语，德福4×4或DSH-2或歌德C1或Telc C1 HS或DSD II
2. 是否受限：否
3. 匹配度说明：
    
    数学：微积分，线代（15CP）
    
    工程学：力学，机械，化学（30CP）
    
    能源技术：热力学，电学，过程技术（30CP）
    
    原材料：原材料科学，原材料法（15CP）
    
    还需至少40个工作日的实习证明（可做为补课在注册毕业论文前补）
    
    以上缺45学分内录取
    
4. 研究生课程：
    
    可持续能源供应硕士课程包括四个模块：原材料、机械工程、电气工程和非技术内容。在四个方向内，都必须完成不同数量的必修科目和选修科目。没有关于必须完成各个区域的顺序的要求。
    
    原材料模块: 
    
    1. 必修模块由以下模块组成：
        - 发电装置规划研讨会
        - 可再生能源和生物能源
        - 取样和原材料分析
        - 原材料和能源法
    
    b. 选修模块有以下主题：
    
    - 燃料准备
    - 地能
    - 二次原料
    - 储能
    
    机械模块：
    
    - 发电技术
    - 太阳能
    - 能源技术
    - 水电
    
    电气模块：
    
    - 电网
    - 风能
    - 光伏
    - 电力供应"
亚琛工业大学,自动化技术,Automatisierungstechnik,"1. 网址：
    
    https://www.rwth-aachen.de/go/id/bjtg
    
2. 申请截止日期：
    
    冬季学期： 3.1 以前
    
    夏季学期： 9.1 以前
    
3. 学制：4学期
4. 语言：德语，德福4×4或DSH-2或歌德C1或Telc C1 HS或DSD II
5. 是否NC：否
6. 匹配度说明：
    
    ①机械工程应用方向：
    
    力学，材料强度，静力学，动力学（18CP）
    
    机械设计，机械原理（13CP）
    
    热力学（6CP）
    
    流体力学，传热学（8CP）
    
    材料学（8CP）
    
    数学，线代，微积分，数学分析，数值计算（17CP）
    
    控制（6CP）
    
    ②机械工程基础方向
    
    力学，材料强度，静力学，动力学（22CP）
    
    机械设计，机械原理（9CP）
    
    热力学（9CP）
    
    流体力学，传热学（14CP）
    
    材料学（6CP）
    
    数学，线代，微积分，数学分析，数值计算（26CP）
    
    控制（7CP）
    
    ③仿真技术/计算机工程方向（Simulationstechnik/Computational EngineeringScience）：
    
    力学，材料强度，静力学，动力学（12CP）
    
    仿真技术（15CP）
    
    热力学（7CP）
    
    软件技术，数据结构和算法，高性能计算（10CP）
    
    数值计算，线代，微积分，数学分析（25CP
    
    ④计算机方向（Informatik）
    
    编程，软件技术（8CP）
    
    数据结构和算法（6CP）
    
    信息工程学，驱动系统，实践（16CP）
    
    形式系统，可计算性，逻辑学（14CP）
    
    线代，数分，数值计算，概率论（25CP）
    
    ⑤材料与过程技术（Werkstoff- und Prozesstechnik）
    
    力学，材料强度，静力学，动力学（12CP）
    
    材料科学（23CP）
    
    物理，化学（20CP）
    
    线代，微积分，数学分析（15CP）
    
    ⑥电气方向（Elektrotechnik）
    
    电气技术基础（24CP）
    
    计算机基础（10CP）
    
    物理基础（10CP）
    
    线代，微积分，数分，数值计算（25CP）
    
    系统理论，控制技术（6CP）
    
    ⑦机电方向（Mechatronik）
    
    电气基础，力学，材料强度，静力学，动力学（40CP）
    
    控制技术，测量与操控技术（9CP）
    
    线代，微积分，数学分析（19CP）
    
    ⑧ 物理方向（Physik）
    
    数学，数学分析，线代（30CP）
    
    理论物理（30CP）
    
    实验物理（30CP）
    
    此外还需 GRE，v145，q160，作文3
    
    还需至少六周的实习证明（可做为补课在注册毕业论文前补）
    
    以上缺 30 学分内录取"
柏林工业大学,自动化系统,Automotive Systems,"1. 官网：
    
    https://www.tu.berlin/studieren/studienangebot/gesamtes-studienangebot/studiengang/automotive-systems-m-sc
    
2. 学制：4学期
3. 申请时间：冬季学期：4.1 - 6.15 夏季学期：12.1-1.15
4. 授课语言：
    
    a. 德语，德福4×4或DSH-2或歌德C2或Telc C1 HS或DSD II
    
    b. 英语，B2水平，即托福87或雅思6.5
    
5. 是否受限：是
6. 匹配度说明：
    
    **本科专业为：电气工程、计算机工程、车辆工程/交通运输或相关学科**
    
    - 至少 20 LP数学和物理
    - 至少 6 LP 计算机科学
    - 以下两个模块的任一模块至少有 48 LP：
        
        **电气工程/计算机工程模块**：
        
        - 18 LP电学基础
        - 6 LP微处理器技术/计算机结构
        - 6 LP信号和系统；可以补课：信息系统分析与设计；
        - 6 LP控制工程：补课：现代控制理论，自动控制原理
        - 6 LP测量技术
        - 6 LP半导体元件/电路技术或模电
        - 6 LP嵌入式系统软件工程/软件技术
        
        或者车辆工程/交通运输模块：
        
        - 24 LP汽车工程基础
        - 6 LP工程力学
        - 6 LP机械设计
        - 6 LP流体力学
        - 6 CP热力学
        - 6 CP电学基础
    
    打分制度：
    
7. TU Berlin的AS专业录取采取打分制择优录取，打分规则如下
    
    1）  匹配度占比55%
    
    2）  本科专业占比30%
    
    该部分满分为100分，计入总分时折算计入。
    
    1. 电气工程、计算机工程或车辆工程/交通运输专业的学生，学习重点是车辆工程的，获得100分。
    2. 工业工程与管理学科的学生，方向为电气工程或车辆工程的，获得75分。
    3. 机电专业学生获得75分。
    4. 所有其他工科专业学生获得50分。
    5. 其他所有科目为0分。
    
    3）  实习等经历占比15%
    
    该部分满分为100分，计入总分时折算计入。
    
    1. 如果曾参加过汽车系统相关的职业培训并结业，则统一获得75分
    2. 如果曾参加过汽车系统相关的全职工作，则每全职一月获得8分。
    3. 如果曾参加过汽车系统相关的全职实习，则每实习一个月获得4分。
    4. 如果曾作为学生助理或在职学生，参加过汽车系统相关的活动，则每40小时/月获得2分。
    
    最后根据得分从高到低录取。根据最近几年的录取情况，只要满足本科专业要求，匹配度要求，则均会被录取。往年NC专业录取情况网址：https://www.tu.berlin/studierendensekretariat/themen-a-z/auswahlgrenzen/
    

9. 研究生课程：

核心领域为以下三个：

汽车系统学习、能源管理、车辆一体化与驱动辅助技术

除此以外，申请人还可以从电气工程与计算机科学学院和运输与机械系统学院提供的课程范围内选择模块汽车和发动机技术。"
