学校名称,专业中文名称,专业原名称（官网名称）,内容
慕尼黑工业大学,地理信息科学与遥感技术,Geodäsie und Geoinformation,"1.        网址：https://www.tum.de/studium/studienangebot/detail/geodaesie-und-geoinformation-master-of-science-msc

2.        申请时间 ：仅冬季学期：4.1-5.31
3.        学制：四学期
4.        语言：英语， 雅思6.5
5.        申请方式：网申+vpd
包括以下评估标准：
一般基础知识
（数学与几何、物理、计算机科学）        要求35学分
大地测量基础知识（测量、平差计算、参考系统、大地测量学基础、规划基础、法律、可视化）        40学分
特定主题的内容
（传感器技术和方法、地理信息学、土地管理、图像处理、摄影测量和遥感、制图学、卫星大地测量学、大地测量学）        45学分
如果确定在获得的技能（学习成果）方面没有显着差异，则最多获得 60分。
二、大地测量基础知识（测量、平差计算、参考系统、大地测量学基础、规划基础、法律、可视化）
三、传感器技术和方法、地理信息学、土地管理、图像处理、摄影测量和遥感、制图学、卫星大地测量学、大地测量学成绩
平均成绩好于3.0的，每十分之一将奖励1.5分
最高奖励30分
假如你是2.0，那么你得到15分
三，动机信
书面论证的评分标准为 0 至 10 分。 理由书的内容根据以下标准进行评估：
1. 大地测量领域现有专业知识的描述，
2. 结构良好地表达个人兴趣与学习课程内容之间的联系，
3. 特殊的执行意愿，例如通过特定课程、课外活动和特定学科的附加资格证明
4.外在形式、语言表达、逻辑结构、陈述的清晰度。

分数大于等于70通过能力测试，被录取，低于50则被拒绝，在50-70内，进入第二轮
第二轮
选拔面试将至少提前一周公布，每个申请人的面试时间至少为 20 分钟，最多为 30 分钟，以英语进行，选委员会成员独立评估四个重点领域
1、考察申请人是否清楚了解硕士项目的选题范围和技术要求，以及课程内容与自己学习目标的契合程度。20分
2. 根据第 课程和动机信提出有关适宜性的问题。20分
3. 分析大地测量问题和关系的能力，解决典型问题的方法。30分
4. 个人印象（谈话过程后）：例如，这来自于以论据和有意义的例子令人信服地陈述陈述以及能够适当地回答问题的能力。20分
两位选委员会成员都以0到90的等级记录选拔面试的结果，0是最差的，90是可以达到的最好结果
如果所得总分数大于等于110，则通过筛选
如果小于，则直接被拒绝
8.	硕士学习内容：
大地测量学的主题是通过测量、地理信息处理及其与任务相关的表示来记录人们的生活空间。大地测量师根据一定的特征对居住空间进行描述、组织和登记，并参与其设计和改变。

除了经纬仪、激光扫描仪和相机等经典测量工具外，大地测量师还使用信息系统、现代卫星技术和数字遥感传感器。您开发用于记录、处理、分析和可视化空间信息的自动计算机辅助程序。各种调查范围从卫星支持的全球地球测量和机载区域地形测量到地面、局部有限的建筑物和机器工程调查。大地测量师开发的地理信息为公民进行官方测量提供了法律确定性，也是创造性、监管和规划措施的先决条件。大地测量方法也用于灾害管理、

作为大地测量与地理信息硕士学位的一部分，在学士学位的基础上，深化工程测量、摄影测量与遥感、大地测量与卫星大地测量、地图学与地理信息学、土地整理与农村发展等领域。在课程过程中，会选择 3 个总共 9 个可用的学习方向。9个研究方向为：导航与全球导航卫星系统、物理大地测量与地球系统、大地测量空间方法、工程大地测量、土地整治、地理信息学、地图学、摄影测量、遥感。
在第一学期，该课程传授大地测量和地理信息所有专业领域的深入基础知识，即地球测量和卫星大地测量、摄影测量、遥感和制图以及工程测量、地理信息学和土地管理。
在第二和第三学期，将传授所选学习领域的专业知识和方法知识。除所选3个学系的必修课程外，还必须选择其他所选学系的课程。额外的选修科目和与研究相关的项目工作可以进一步专业化。
第四学期致力于硕士论文。这就是所获得的知识和方法能力的结合之处
"
慕尼黑工业大学,面向地球的空间科学与技术,ESPACE – Earth Oriented Space Science and Technology,"1.        网址：https://www.tum.de/studium/studienangebot/detail/espace-earth-oriented-space-science-and-technology-master-of-science-msc
3.        申请时间 ：仅冬季学期：4.1-5.31
4.        学制：四学期
5.        语言：英语， 雅思6.5
6.        申请方式：网申+vpd
1.成绩
如果成绩为1.5或更好，则使用以下公式计算分数。
分数 = 50 – 20*等级
如果平均成绩低于1.5，则使用以下公式：
分数 = 32 – 8*分数

2. 申请人在以下方面的能力最多可获得20分
1.数学基础满分10分，
2.基础物理满分7分
3. 编程基础最多3分

3. 动机信
申请的书面理由由两名委员会成员按照 0 到 32 分的等级进行评估。 
理由书的内容基于以下标准
评级：
1. 结构化呈现个人兴趣与课程内容之间的联系，
2. 特别愿意进行特定课程的课外活动（实习、科学活动）（参见第 2.3.3 条），
3. 语言质量（词汇、拼写和语法）。

4. 该论文由两名委员会成员按照 0 到 18 分的等级进行评分。
论文的内容根据以下标准进行评估：
1. 学位课程“面向地球的空间科学与技术”所选主题的技术相关性，
2.内容的准确性，
3、具有科学性、根本性、方法性的工作能力；
4.科学的英语语言表达能力。

大于81通过，小于60分被拒绝
二轮筛选
每位申请人的面试时间至少为 20 分钟，最多 30 分钟，以英语进行，旨在表明申请人是否可以在学术基础上独立、负责任地实现学位课程的目标。
能力倾向面试涵盖以下主要主题：
1. 根据第2.3.3条规定的动机信评估标准，对硕士课程“面向地球的空间科学与技术”有特殊的动机和兴趣（最多15分），
2.第1.1和1.2条中列出的适用性参数（基本和应用相关问题）（最多20分），
3. 用英语表达自己的能力（最高15分）。

选拔面试的结果，评分范围为 0 到 50

总分大于81为通过
硕士内容
面向地球的空间科学与技术（ESPACE）硕士学位课程是一个跨学科课程，定位于空间技术与卫星数据的工程和自然科学使用之间的接口。它是与中国武汉大学合作进行的为期两年的硕士学位课程，可选择双学位。 ESPACE 将卫星和观测系统的技术方面与科学和商业应用结合起来。这需要超越不同工程学科边界的跨学科知识，例如大地测量学、机械和电气工程，以及物理学、信息学和地球科学。
SPACE硕士学位课程的目标是培养学生成为地球系统科学、遥感和导航三个主要领域卫星使用和开发的专家。学生获得这三个领域的基础知识和能力作为一般基础，以及它们之间的接口，以便能够将技术知识与实际应用联系起来。他们同时学习信号处理、传感器技术、轨道力学和空间技术的必要基础知识，以便能够帮助规划和开发上述领域的未来任务。
通过将众多科研机构和航天工业纳入教学理念，ESPACE 充分利用了优秀科学家的潜力，还提供了与科学家密切合作（在许多情况下甚至在实验室）进行专门项目工作和硕士论文的机会。这些机构的位置。因此，学生可以参与当前的项目、最先进的技术和科学以及日常实践。 
"
柏林工业大学,计算机工程,Computer engineering,"1. 官网
https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/computer-engineering-m-sc
2. 授课语言：德语daf16+英语B2
3. 申请日期：
①　冬季：6.1-8.31
②　夏季：1.12-2.28
4. 申请方式：
①　Uni-assist+官网申请
https://zulapp.zuv.tu-berlin.de/qisserver/rds?state=user&type=0
官网链接
5. 申请材料: 无特殊
6. 匹配度说明+选拔标准：
1）具有计算机工程本科等相关学科
2）包含：
①　至少20CP的数学
②　至少18CP电子工程or媒体技术
③　至少18CP的计算机科学
④　至少18CP的技术信息
英语知识达到 B2 级
7. 硕士学习内容：
各个模块的课程
 
分为必修（18 LP）、必修选修（54-60 LP）和选修（12-18 LP）
模块必须完成：
- 电磁场（6LP）
-统计信息理论基础（6 LP）
-.计算机科学理论基础（6 LP）
A
自动化技术/自动化与控制
嵌入式系统和计算机体系结构 
电子、光子学和集成系统 / 电子、光子学和集成系统
通信系统 
媒体技术与人机交互

B
嵌入式系统和计算机体系结构 
认知系统
媒体技术与人机交互 
分布式系统与网络 
"
柏林工业大学,计算科学与工程,Computational engineering Science,"1. 官网
https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/computational-engineering-science-informationstechnik-im-maschinenwesen-m-sc
2. 授课语言：德语授课
3. 申请日期：
①　冬季：6.1-8.31
②　夏季：1.12-2.28
4. 申请方式：
①　Uni-assist+官网申请
https://zulapp.zuv.tu-berlin.de/qisserver/rds?state=user&type=0
官网链接
5. 申请材料：无特殊
6. 匹配度说明+选拔标准：
大学第一学位，有资格在以下领域从事专业工作：在计算科学、工程科学或相关专业获得大学第一学位
1）数学基础：分析、线性代数、数值数学，微分方程：最低18，最高24，适中21
2）自然科学模块“力学，静力学，动力学：最低15，最高21
3）热力学/流体力学，最低5，最高7
4）电气工程，电力学，最低5，最高7
5）控制工程，最低10，最高14
6）技术方法模块：设计理论，最低5，最高7
7）计算机科学，计算机工程，程序设计，计算机系统，最低18，最高24
以上全部内容，证明最低为90；必须达到 90 ECTS 才能满足入学要求
总结：该专业更适合机械本科的同学申请"
柏林工业大学,计算机科学,Informatik,"1. 官网
https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/computer-science-informatik-m-sc
2. 授课语言：英语B2
3. 申请日期：
③　冬季：4.2-6.15
④　夏季：1.12-2.28
4. 申请方式：
②　Uni-assist+官网申请
5. 申请材料：无特殊
6. 匹配度说明+选拔标准：
第 4a 节--入学要求
(1) 入读硕士学位课程的先决条件
计算机科学硕士学位课程的先决条件是：获得德国或同等学历的外国学位。
如果相关学位课程包含以下内容，一般可授予相关学位，学位课程包含以下内容：
计算机科学领域至少 60 个 LP，其中
- 理论计算机科学领域至少 12 个 LP
- 实用计算机科学或信息技术领域至少 12 个 LP，满足
- 数学领域至少 18 个 LP，满足
(2) 学位课程的教学语言为英语英语达到 B2 级
https://www.static.tu.berlin/fileadmin/www/10000040/1_Studium_Lehre/1_Studienangebot/2_Masterstudiengaenge/2_M_CS/MScCS-SAF.pdf
计算机科学全日制本科课程和其中教授的大量基础知识为基础
提供英语语言能力证明以及至少在以下领域完成并通过考试的证明
- 36 门计算机基础科学课程，包括
①　理论计算机科学领域的 12 个 CP
②　计算机科学方法-实践领域的 12CP
③　计算机工程领域 12 个 CP
- 数学领域的 18 个 CP
- 计算机科学领域的 30 个 CP，除上述 54 个学分外，不包括您的毕业论文
除此之外，还有一张表格你也可以填写来check你是否符合要求：
https://www.static.tu.berlin/fileadmin/www/10000040/1_Studium_Lehre/1_Studienangebot/2_Masterstudiengaenge/2_M_CS/MScCS-SAF.pdf
"
慕尼黑工业大学,数据工程与分析,Data Engineering and Analytics,"1.        网址：
https://www.tum.de/studium/studienangebot/detail/data-engineering-and-analytics-master-of-science-msc
2.        申请时间: 
①　冬季：1.1-5.31
②　夏季：9.1-11.30
3.        学制：4学期
4.        语言：雅思6.5+GRE(定量推理：164,分析写作：4.0) 
5.        申请方式：网申+VPD
6.        申请材料：常规+Essay
动机信不超过2页计算机科学基础
计算机科学、算法和数据结构导论，数据库、计算机体系结构、软件技术、操作系统和系统软件、计算机网络和分布式系统）总计至少 50 学分        20
理论计算机科学领域的技术基础 至少 8 个学分        10
函数式编程领域的技术基础和验证 至少 5 个学分        10
数学基础模块（离散结构，线性代数，分析，离散, 概率论，数值规划）
至少 28 个学分        10
合计        50

动机信
书面理由的评分范围为 0 到 10 分。根据以下标准进行评估：
①　特殊的执行意愿：提供超出第一学位获得的知识和资格的相关资格，例如特定课程的职业培训、实习、留在国外
②　特别适用：个人适合性与课程内容之间关系的结构化表示。
③　两名遴选委员会成员独立评估这两个标准中的每一个，这些标准的权重相等
④　点数由个别评估的算术平均值得出，四舍五入为整数。
四，小论文
申请人的论文评分为0到15分，论文的内容根据以下标准进行评估：
①　正式和连贯的结构，
②　内容的完整性和正确性，论证的连贯性，
③　科学基础。
④　两名遴选委员会成员独立评估三个标准中的每一个，这些标准的权重相同。
⑤　点数由个别评估的算术平均值得出，四舍五入为整数。
如果所得分数大于70，则通过一轮筛选
如果小于50，则直接被拒绝
二轮筛选
每位申请人的面试时间至少为 20 分钟，最多为 30 分钟，并以德语和英语进行，应要求完全以英语进行。 讨论内容涵盖以下主要议题：
1. 表现特别的意愿，这导致预期上一个学位的表现水平总体上或与所选科目有关（0 至15 分）：存在可以在学位课程中学习的特定学科的特定能力，这可以通过该领域的其他模块或课外活动（例如，会员资格或在相关组织的工作）证明，证明简历中的特定决心（例如额外的相关实习，参考之前的专业活动），研究型工作的具体经验证明（例如之前选择的课程中的特殊研究方向，参与研究项目）
2、适宜性（0～15分）：
介绍以前的专业知识，以前的重点，在本科课程中获得的学科组领域的技能，论文主题
3. 沟通技巧（0-15分）：
清晰、流利、正确地呈现和讨论的事实，准确地表达自己的想法和意见，并在对话中构建更广泛的答案，有关第一学位或第一学位重点的问题在术语上准确且易于理解地回答，陈述通过与主题相对应的论据和相关示例令人信服地证明,有关科学主题或个人技能和期望的问题会被理解或在必要时通过提问来澄清。
有可能还会收到线上测试通知：

书面成绩评估（测试）持续 90 分钟，包括约 20-30 道题。试题
试题使用英语。测试内容与相关学士学位课程的基础知识有关，包括以下内容：
(a) 一般基础知识（最高 12 分）：抽象思维能力、逻辑思维能力和系统思维能力，以及将解决问题的方法形式化的能力。
b) 数学基础（最高 13 分）：
第一学位中随机学、组合学、分析、线性代数等子领域的知识。
c) 计算机科学理论基础（最高 13 分）：第一学位课程中自动机理论、复杂性理论、 算法和数据结构、验证。
d) 计算机科学实践基础（最高 13 分）：第一学位课程中数据库、计算机结构、Java 编程等分领域的知识。
Java 编程。
如果您被邀请参加测试，您将及时收到我们的电子邮件，其中包含有关程序、测试和如何前往测试地点的信息。
8.	硕士学习内容
三个主要领域  ：
①　数据工程领域包括  分布式系统、分布式数据库、查询优化、现代 CPU 架构和高性能计算的数据库系统等讲座。
②　数据工程和分析 提供有关机器学习、商业分析、计算机视觉和科学可视化的课程。
③　数据分析 包含需要扎实数学基础的课程：凸优化基础、计算统计等
https://www.cit.tum.de/fileadmin/w00byx/cit/Studium/Studiengaenge/Master_Data_Engineering_and_Analytics/DEAChanges.pdf选修模块
"
慕尼黑工业大学,软件工程,Software Engineering,"与奥格斯堡大学合作开设的专业
申请需通过奥格斯堡大学网页https://elite-se.informatik.uni-augsburg.de/application/

1.	网址：
https://www.tum.de/studium/studienangebot/detail/software-engineering-master-of-science-msc
2.	申请时间: Only冬季学期。2023年截止日期为2023.5.1
3.学制：4学期
4.语言：英语，雅思6.5+GRE（非强制）
5.申请方式：网申+VPD
6.申请材料：无特殊
7.匹配度说明+选拔标准
主要要求：信息学或相关领域的学士学位
进一步要求
●以前课程的优秀成绩
●超越常规学习课程必修课程的贡献
●流利的英语书面和口语（有入学测试）
9.	硕士学习内容：
教育侧重于现代 软件工程的以下五个中心主题：
●软件工程方法
●形式化方法和 IT 安全
●数据库系统
●分布式系统
●人机交互
这些课程在奥格斯堡和慕尼黑举行，奥格斯堡的课程略多。
精英计划中定期提供以下课程：
第一学期
●软件工程：本课程介绍了系统软件开发的当前方法。从软件生命周期开始，本课程涉及软件开发的不同阶段和当前相关的软件开发过程。主要关注的是统一过程和 UML 在不同开发阶段的使用。进一步的主题是测试、设计模式和 GUI 设计。
（6个学分）
●形式方法：本课程向观众介绍开发可证明正确的软件的技术。该课程从精确规范所需行为的技术开始，然后是可以证明实现与规范之间对应关系的逻辑。
（6个学分）
●数据库系统：本课程传授有关数据库管理系统的设计和操作的知识。从关系数据模型及其基础关系代数开始，它继续介绍数据库的建模和设计技术、查询语言、从 Java 和面向对象的数据库等 OO 语言访问数据库。此外，它还处理事务、多用户同步、错误处理等
（6 个学分）
●精简课程 项目管理：项目管理是软件开发项目成功的关键因素。项目管理面临的挑战是提高生产力、确保质量、将项目保持在预算和时间范围内。本课程介绍从风险管理到估算方法的功能或项目管理、相关流程和方法和工具。
（6个学分）
第一学期后
软技能：
●团队合作和团队冲突（2 个学分）
●演讲技巧（2个学分）
●作者研讨会（2个学分）
第二学期
●分布式系统：本课程介绍分布式系统开发的基本概念和方法。关键主题是通信（基本交互模型、网络、协议和服务、进程间通信）、进程、同步和协调（进程和线程、同步、协调）和面向服务的体系结构和 Web 服务（SOA、Web 服务、REST、Web服务组合）。
（6个学分）
●人机交互：本课程介绍人机交互的新范式、现代交互范式的必要理论背景、识别和解释用户输入以及系统输出生成和同步的具体方法。另一个重要主题是交互系统设计中的可用性指南。
（6个学分）
●基于模型的安全分析：本课程介绍最先进的安全分析技术。这些技术的目标是分析高度安全的关键系统，并产生设计指南以提高这些系统的安全性。本课程的重点是软件在嵌入式系统中的重要性日益增加。讲座从传统的安全分析方法开始，然后转向基于形式方法的前沿技术。
（6个学分）
●反应式系统的建模、规范和验证：反应式系统的不同方面是并发、通信和不终止。本课程介绍了反应系统建模和规范的当前方法，并介绍了可靠反应系统的改进和验证技术。
（6个学分）
●需求工程：需求工程是每个开发项目的关键部分。收集到的需求是新系统开发、集成和批准的基础。本讲座首先介绍需求工程的目标、职责和主题。它介绍了不同种类或需求、过程中的关键步骤、需求收集的方法和技术以及需求的规范。进一步的主题是需求工程中的需求、用例和场景建模、非功能性需求、需求管理和系统模型的结构化文档。
（6个学分）
●测试：软件测试通过识别问题和缺陷来评估和改进产品质量。该课程介绍了软件测试的基础知识，描述了它在软件开发过程中的地位，并讨论了测试方法和工具以及测试管理方法。
（5个学分）
●基于模型的软件工程：基于模型的软件开发的目标是通过（半）正式模型（尽可能地）描述软件系统，并从这些模型中生成尽可能多的工件。本讲座概述了基于模型的软件工程，重点关注以下要点：建模、元建模、转换和代码生成。
（5个学分）
●现代 CPU 架构上的数据库系统：数据库系统在现代硬件方面的实现：存储层、访问路径、事务、面向集合的查询处理、代数运算符。了解数据库系统之间的交互。算法和现代计算机架构（尤其是 CPU、缓存、主存储），并学习如何开发相应的。修改数据库系统的内部结构，以利用这些计算机体系结构特性的特性。
（6个学分）
●软技能
○领导力（3个学分）
第二学期后
●在工业伙伴实习（10 个学分）
第三学期
●分布式系统软件工程：本讲座的主题是分布式系统的软件架构（软件架构和组织、软件架构设计、软件架构的文档和软件架构的评估）、语义技术（语义网、语义网的本体语言、描述逻辑、OWL 推理和描述逻辑推理）和多智能体系统（智能智能体、智能体架构、反应式和混合智能体、决策发现方法、多智能体系统中的交互以及通过通信进行的协商、协调与合作）（6个学分）
●嵌入式系统的软件工程：嵌入式系统是为特定目的在技术环境中设计、集成和操作的系统。嵌入式系统应用领域的例子有汽车、飞机、家用电器、移动通信和消费电子产品。本讲座概述了嵌入式系统的设计、实现和技术环境。（6个学分）
●实用 IT 安全：本课程介绍 IT 安全的基本概念、技术、方法和应用。除其他主题外，讲座还包括对 IT 系统的威胁和攻击、IT 安全目标，如完整性、保密性和可用性、密码学、访问控制、身份验证、网络安全和安全工程。（3个学分）
●可用性工程：由于计算机在生活的各个方面的日益普及以及它们嵌入到用户的自然环境中，人机交互的塑造是一个越来越重要的挑战。本讲座介绍设计原则和标准、人类信息、活动和感知过程、以用户为中心的开发过程以及评估交互式系统的方法。（6个学分）
●Web 数据库：在许多情况下，用户可以通过基于 Web 的界面访问数据库。例如网上购物和网上银行。大量用户和应用程序在不同的硬件和软件系统（如 Web 服务器、数据库服务器、应用程序服务器等）上的分布导致了特殊软件架构和开发范式的发展。本讲座介绍了现代基于 Web 的信息系统的当前编程语言、技术和架构。（5个学分）
●数据工程基础：该课程介绍了组织和有效分析大量数据的基本技术。本课程讨论分布式存储、分布式和并行数据处理、基于统计的优化、map/reduce 以及支持分析的不同数据库实现的方法。（6个学分）
●人工智能：该课程将经典人工智能与机器学习区分开来，并讨论它们在行业中的应用（例如工业 4.0、智能工厂、智能电网）。该课程介绍了不同的人工智能模型和方法，例如决策树、回归、数值优化和机器学习技术。（5个学分）
第三学期后
●软技能：
○审核技巧（2 个学分）
○跨文化能力（2个学分）
○变更管理（2个学分）
第四学期
●与导师安排的个人学习，例如：
○留在国外
○融入当前研究
○科学论文
○实习 个人研究导致
●硕士论文（30学分）
"
慕尼黑工业大学,计算机科学,Informatics ,"1. 官网：
https://www.tum.de/studium/studienangebot/detail/informatik-master-of-science-msc
2. 授课语言：英语B2，雅思6.5
3. 申请日期：
①　冬季学期：1.1-5.31
②　夏季学期：9.1-11.30
4. 申请方式
5. 申请材料：要求提交GRE（QR数量推理：164，AW分析写作：4.0）
6. 匹配度说明+选拔标准:
https://www.tum.de/fileadmin/user_upload_87/gi32rab/Informatik_MA_EV__3_AS_141222.pdf
第一轮：
要求的书面申请文件进行评估
计算机科学基础
计算机科学、算法和数据结构、数据库、计算机体系结构、软件工程、操作系统和系统软件、计算机网络和分布式系统简介	

50学分	

20分
理论计算机科学领域的技术基础	8学分	10分
功能编程和验证领域的技术基础	5学分	10分
数学基础模块，
（离散结构、线性代数、分析、离散概率理论、数值编程）	28学分	10分
如果确定在获得的技能（学习成果）方面没有显着差异，则最多获得 50分。
对于平均 120 个学分，优于 2.3的成绩每十分之二获得一分。
最多获得7分
匹配度+成绩大于等于51通过能力测试，被录取，低于45则被拒绝，在45-50内，进入第二轮筛选
1、动机信
书面理由的评分范围为 0 到 24 分。根据以下标准进行评估：
1. 特殊的执行意愿：
提供超出第一学位获得的知识和资格的相关资格，例如特定课程的职业培训、实习、留在国外
2. 特别适用：个人适合性与课程内容之间关系的结构化表示。
3 两名遴选委员会成员独立评估这两个标准中的每一个，这些标准的权重相等。
4 点数由个别评估的算术平均值得出，四舍五入为整数。

2，小论文
申请人的论文评分为0到27分，论文的内容根据以下标准进行评估：
1. 正式和连贯的结构，
2. 内容的完整性和正确性，论证的连贯性，
3.科学基础。
3 两名遴选委员会成员独立评估三个标准中的每一个，这些标准的权重相同。
4 点数由个别评估的算术
平均值得出，四舍五入为整数。
如果所得分数大于等于85，则通过筛选
如果小于70，则直接被拒绝
处于70-85的同学需要参加笔试测试：
委员会将至少提前一周宣布测试日期；笔试成绩评定时间为 90 分钟，包括约 20-30 道题；任务用英语；通过测试，可以了解申请者是否能够独立、负责任地实现学位课程的目标，是否具备满足课程要求的必要常识。
考试内容包括以下几个方面
(a) 一般原理（最高 12 分）：抽象思维能力、逻辑思维能力和系统思维能力，以及将解决方法形式化的能力；
b) 数学基础（最高 13 分）：第一学位课程中随机学、组合学、微积分、线性代数；
c) 计算机科学理论基础（最高 13 分）：第一学位课程中的自动机理论、复杂性 理论、算法和数据结构、验证；
d) 计算机科学实践基础（最高 13 分）：第一学位课程中数据库、计算机结构、 Java 编程等分领域的知识

成绩评估的最高分是 51 分
委员会应在申请阶段开始前至少 14 天宣布考试形式的变化
获得 85 分或以上者即通过二轮筛选
7. 硕士学习内容：
• 算法 (ALG)：能力领域“形式、算法、数学能力”
• 计算机图形和视觉 (CGV)：能力领域“技术能力”和“形式、算法、数学能力”
• 数据库和信息系统（DBI）：能力领域“分析、设计和实施技能”和“技术技能”
• 数字生物学和数字医学（DBM）：能力领域“分析、设计和实施技能”、“技术技能”和“跨学科技能”
• 软件密集型系统 (SE) 工程：能力领域“分析、设计、实施和项目管理技能”和“技术技能”
• 形式方法及其应用 (FMA)：能力领域“形式、算法、数学技能” • 机器学习和数据分析 (MLA)：能力领域“形式、算法、数学技能”
• 计算机体系结构、计算机网络和分布式系统 (RRV)：“技术能力”的能力领域
• 机器人技术 (ROB)：能力领域“技术能力”和“形式、算法、数学能力”
• 安全和数据保护 (SP)：能力领域“形式、算法、数学能力”和“技术能力”
https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStpStpNr=4731
"
慕尼黑工业大学,机器人，认识，智能,"Robotics, Cognition, Intelligence","网址：
https://www.tum.de/studium/studienangebot/detail/robotics-cognition-intelligence-master-of-science-msc
2. 申请截止日期：
冬季学期： 01.01-05.31
夏季学期： 09.01-11.30 
3. 申请方式：UA（VPD）+网申
4. 申请材料：基本材料+小论文
5. 学制：4学期  
6. 语言：德语+英语
德语，德福4×4或DSH-2或歌德C1或Telc C1 HS
英语，托福88或雅思6.5
7. 是否NC：否
8. 匹配度说明：
需要GRE成绩

根据相关打分情况进行录取，满分100分，匹配度占55分，本科成绩占20分，动机信占10分，小论文占15分

根据本科课程可分为以下专业组别
计算机组：
计算机基础：71学分，包括计算机科学、编程和验证、计算机结构、软件工程、算法和数据结构、数据库、操作系统和系统软件、计算机网络和分布式系统、计算机理论
数学基础：30学分，包括离散结构, 线性代数, 分析, 离散概率论数学组：
数学基础：96学分，包括分析，线性代数，离散数学，数值，概率论，统计学，纯数学，应用数学
物理组：
基础物理：74学分，包括实验物理，理论物理，初级实验
基础数学和其它：物理数学，科学编程
EI组：
电学基础：59学分，包括电路技术、编程、数字技术、电气电子和电磁学、计算机技术、信号、通信工程、电气控制系统，材料和部件、测量和传感器系统
数学和物理基础 ：38学分
机械组：
机械基础：60学分，包括力学，材料，机械设计，控制，传热，流体力学
数学基础和其它：40学分，包括高数，物理，化学，电学基础，现代计算机技术
工程学组：
工程学基础：61学分，包括力学，材料，连续体力学，流体和固体力学，产品和工艺的计算机辅助建模，机械设计，信号表示，控制工程，数字技术
数学基础和其它：51学分，包括数学基础，微积分计算，微分方程建模和仿真，偏微分方程的数值处理，物理，计算机科学，仿生学
本科成绩选取最高的120学分或总学分2/3进行计算，3.0以下，每0.1获得1分
动机信评分总分10分，将从特别能力和特别适配性两个方面进行评分
特别能力包括介绍超出第一学位所获知识和资格，例如，学位课程的职业培训、实习、国外交换
小论文15分，将从正式和连贯的结构、内容的完整性和正确性，论证的一致性、科学基础三个方面进行打分
最后总分大于70，则直接录取，若有补课需在第一年补完，小于50则直接拒绝，50-70之间将进入第二轮面试
二轮约为20-30分钟面试，总分45分
面试打分标准：
1.之前所提交的相关特别能力(0至15分)
可以是在学位课程中可以具体研究的研究领域特定的能力。(例如，在相关组织的人员或活动）
证明简历中的能力（如与学科相关的额外的实习机会，以前的专业活动与学位课程的关系）
证明有研究型工作的具体经验（例如，特定的在以前选择的学位课程中的研究方向，参与研究项目）
2.适合性参数（0至15分）
介绍以前的学科知识，以前的重点。
在本科学位课程中在对应匹配组中获得的相关知识
毕业论文的主题
3.沟通能力（0至15分）
清晰、流利、正确地陈述和讨论事实
准确表达自己的想法和意见，并组织更多的答案
有令人信服的论据和适合本专题的相关例子来证明
清楚地了解关于学术主题或学生自身能力或在必要时，通过进一步的问题加以澄清

面试分数与第一轮分数中的匹配度和成绩相加，总分达到70则录取

9.硕士课程
必修课程：
•	机器人学
•	人工智能基础
•	人机交流 1 
•	机器学习
•	机器人运动规划
•	认知系统
•	硕士实习
•	计算机视觉 II：多视图几何 
选修方向可选择：
计算机科学、机械工程和电气工程

"
慕尼黑工业大学,机电和机器人,Mechatronik und Robotik,"网址：
https://www.tum.de/studium/studienangebot/detail/mechatronik-und-robotik-master-of-science-msc
2. 申请截止日期：
冬季学期：04.01-05.31
夏季学期：11.01-12.31
3. 申请方式：UA（VPD）+网申
4. 申请材料：基本材料
5. 学制：4学期  
6. 语言：德语
DSH2，德福4x4，telc C1 HS，歌德C2
7. 是否NC：否
8. 匹配度说明：
本专业采取打分制录取，满分100分，匹配度占60分，成绩占20分，动机信占20分匹配度说明：
高数：19ECTS
力学：19ECTS
机械设计：6ECTS
机械材料：10ECTS
流体力学：6ECTS
现代计算机基础：8ECTS
控制技术：5ECTS
以上匹配度最高获得60分
本科成绩巴伐利亚算法3.0以下每0.1获得1分
动机信评分标准：正确的语法和词法（2分）逻辑结构和明确的文章架构（3分）对个人兴趣和能力的条理清晰的陈述（5分）动机信中体现出自己能够适应未来学习生活的能力（10分）
以上总分70以上直接录取，50-70进入第二轮，50以下拒绝
二轮筛选：
二轮筛选为80分钟笔试，申请者需要展现出所期待的专业能力，考试内容包括高数，力学，机械设计和材料，每部分20分，总分80分。将第二轮分数与第一轮中匹配度得分以及成绩得分相加，总分达到110分则录取。
此外还需要8周实习证明，可以在第二学期结束前补
硕士课程
选修方向：
总体系统，控制技术，力学，计算机/计算机支持程序，电气以及工程学
"
