学校名称,专业中文名称,专业原名称（官网名称）,内容
亚琛工业大学,建筑学,Architecture,"1. 官网：
https://www.rwth-aachen.de/go/id/boiw?lidx=1#aaaaaaaaaaaboix
2. 授课语言：德语 daf 16； DSH II For applicants who are not citizens of an EU country and did not acquire their higher entrance qualification in Germany, the application deadline for the winter semester is March 1st and for the summer semester September 1st.
3. 申请日期：
①　冬季入学：3.1截止
②　夏季入学：9.1截止
4. 申请方式：网申
https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login
在这个网站能找到步骤说明：
https://www.rwth-aachen.de/cms/root/Studium/Vor-dem-Studium/Bewerbung-um-einen-Studienplatz/~dedx/Master-Bewerbung/?lidx=1
5. 申请材料：需要作品集，最多25页，A4或A3纵向。作品集应体现出特定的教育和知识水平，并应包括草稿、项目、练习和文字稿。最大文件大小为 5 MB
6. 匹配度说明+选拔标准：
要求建筑学学士学位，而且硕士阶段强制实习6个月
因为硕士入学要求无明确说明，我们来参考本科学习内容：
基础文化与历史I+II+III+IV 18CP
结构和结构设计 6CP
建筑工程 I + 建筑材料学 12CP
艺术和设计I+II 15CP
基础设计 6CP
设计练习课 18CP
结构和结构设计II 6CP
建筑工程 6CP
建筑技术I+II 12CP
城市与景观规划 6CP
数字建筑流程和方法 6CP
城市与景观综合项目 12CP
建筑与施工综合项目 12CP
社会、经济和法律 6CP
历史、理论、设计
文化和历史基础
①　- 建筑史
②　- 建筑理论
③　- 纪念碑保护
④　- 艺术史
设计与描绘
①　- 绘画
②　- 雕塑
③　- 描述性几何
④　- 计算机辅助建筑设计
技术知识
①　建筑
②　建筑规划
③　结构设计
④　建筑技术
⑤　城市和景观规划
⑥　社会、经济和法律基础
⑦　数字化施工流程和方法
项目/设计
第一学期：设计入门
第二学期：住房+
第三学期：综合项目
城市与景观
第四学期：综合项目
建筑与施工
第五学期：自由设计
第六学期：学士论文
7. 硕士学习内容：
https://online.rwth-aachen.de/RWTHonline/pl/ui/$ctx;design=ca2;header=max;lang=de/wbModhbReport.downloadPublicMHBVersion?pOrgNr=1&pStpStpNr=1790&pDocNr=9328270
历史和理论；建筑法；设计战略；建筑与城市规划; 建筑学研究领域; 建筑设计；交通建筑

总结：建议申请。首先没有匹配度明确说明，参考其本科学习内容，你的匹配率高达85%，而且没有明确选拔标准，是非NC！冲就可以啦"
斯图加特大学,综合技术和建筑设计研究,Integrative Technologies and Architectural Design Research,"1.        官网
https://www.uni-stuttgart.de/en/study/study-programs/Integrative-Technologies-and-Architectural-Design-Research-ITECH-M.Sc-00001./
2.        语言要求：英语B2：雅思最低6，托福最低79
3.        是否受限：非NC
4.        申请方式
官网申请：https://campus.uni-stuttgart.de/cusonline/ee/ui/ca2/app/desktop/#/login
5.        申请时间：冬季学期：6.1-10.15
6.        申请材料
①　通用材料，作品集
②　动机信要求：对所选学科的长期目标和兴趣以及申请该计划的原因，不超过500字
③　作品集要求：最多 10 页（Din A 4 格式，单页）不超过10MB，并且不接受网页链接，作品集应该包含你最好的作品的例子。作品集中包含的工作可能是自己完成的专业作业或在本科或研究生课程中完成的课程作业。如果展示了小组工作或专业工作，还应该清楚地说明您对该项目的贡献。
④　附加文件：填写文件“Ergänzungsformular des Zulassungsausschusses” https://www.itech.uni-stuttgart.de/documents/ITECH_Application_Doc.pdf传签名文件
7.        匹配度要求
https://www.uni-stuttgart.de/universitaet/aktuelles/bekanntmachungen/dokumente/bekanntm_14_2013.pdf
至少六个学期的建筑和城市规划、土木工程、生物学、仿生学或能源工程学士学位（或同等学位），或在德国大学或同等大学的具有资格考试成绩的类似工程或自然科学课程
8.        硕士课程

建筑规划、环境等课程
9.选拔标准
1.确定专业适用性程序的第一阶段：
1.1根据本科课程和语言情况给予0-20分。
    1.1本科成绩高于3.0每0.1分，申请人将获得一分。最大点数为20分。
    1.1招生委员会对作品集和论文的打分（本科学士学位课程的最终论文和自选的作品集，以DIN A4格式最多10页）给予0至30分。申请有条件录取且尚未完成最终论文的申请人提交自己的论文，以DIN A4格式最多10页。
    1.1招生委员会通过动机信（最多1页，DIN A4格式），总共奖励0至30分。
达到70分或70分以上的申请人进入确定专业适用性程序的第二阶段。达到69分或69分以下的申请人在技术上不适合学习课程
2.确定专业适用性程序的第二阶段
2.1已完成专业能力评估程序的申请人
如果您达到70分或以上，请参加职业能力倾向评估程序的第二阶段。
2.2作为专业能力评估程序第二阶段的一部分，将邀请达到这一阶段的申请人参加面试。面试的预约将至少提前一周由招生委员会宣布。对于来自国外的申请人，有可能进行网络面试。可能的面试时间必须在申请截止日期之前确定
2.3能力倾向面试的时间至少为15分钟，每个申请人最多为30分钟，旨在表明申请人在技术上是否适合硕士课程综合技术和建筑设计研究

总结：斯图加特这个专业都不是NC，并且语言要求不高，匹配度没有很严格，可以考虑申请
"
伍伯塔尔大学,战略产品和创新开发,Strategische produkt- und innovationsent- wicklung,"1. 官网:https://uwid.uni-wuppertal.de/studium/master/studiengang
2. 申请方式:在官网申请
https://hisinone.uni- wuppertal.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?page=1&naviga tionPosition=hisinoneapp_studi_no_login%2Chisinoneapp_studi_no_login
3.截止日期:冬季学期 3.1-5.8 4.申请材料:
3. 填写完整的注册表(网上填写，冬季学期在线，夏季学期 pdf)
4. 学士学位证书和学士学位证书复印件(至少总成绩 2.0)。对于来自中国和越南的毕业
生:APS 证书(总体成绩最低 2.0)
5. 可能是语言证书 DSH-2
6. 动机信和学习意图的理由(最多一页 DIN A4)
7. 简历
8. 如果有:设计、策略、开发、生态或交互导向的实习证明(您必须在注册论文之前提供
总共 15 周的实习证明)
9. 申请人书面声明其所提交的作品样本是独立准备的。
10. 如果尚未提交学士证书，还可以提交考试办公室关于当前成绩和表现指数的证明，包括
ECTS 学分的说明(总共至少 150 分)或初步考试证明。在有正当理由的特殊情况下，可
    以在入学时提交学士学位证书和学士学位证书。”
11. 包含 pdf 格式工作样本的作品集。可以附上解释性文字。作品样本上必须注明创作日
期。
5.授课语言:德语 DSH-2，Testdaf 4*4
申请时可以提交 B2，入学时提供 C1 6.匹配度说明:
 工业设计、工业设计、产品设计(重点关注技术或战略产品开发)或机械工程或经济学 (重点关注产品或创新开发)至少 180 ECTS 学分的学士学位或同等学位的最终证书，或 成绩为 2.0 或更高的一门可比课程;
 与课程相关的艺术和创意适宜性证明，根据确定战略产品和创新开发硕士课程的艺术和创 意适宜性的规定，通过特殊程序确定;
 我们的作品集咨询的日期是 23.4.28，下午 2 点 我们将以混合方式提供日期:即在大学现场直播并作为缩放链接。 现场:Fuhlrottstr。10, 42119 Wuppertal, Building I, Level 16, Room 79 请提前将您的作品以一份 pdf 格式通过电子邮件(最大 10 MB)发送至 mappenberatung@uni-wuppertal.de
7.硕士课程:
第一学期基础板块
第一学习部分:学生学会分析和理解变化(创新意义上的)可能发生和被感知的背景。这尤其适 用于设计思维、品牌战略和项目管理等模块。
此外，本学期为在产品和服务的设计开发背景下对创新概念进行批判性检查奠定了基础。设计批 评和设计与社会责任模块明确涉及创新对环境的实际影响，并涉及资源节约的解决方案。
第二学期:方法和过程
在第二学期 ""方法与过程 ""中，创新、基础和发展的主题被列入课程。除了社会技能、企业组织 和战略设计等跨学科基础知识外，这里的重点是在战略项目的框架内具体实施创新发展。创新发 展和研究方法模块通常与研究项目合作进行，以实现对问题的充分研究。
第三学期:整合与实施
第三个学习部分，整合与实施，特别关注创新文化的主题领域。在这一部分中，体验与交互设 计、商业管理和创新以及项目管理等模块加强了对企业背景下创新文化的理解。
8.选拔标准:
预选(作品样本评估并进入主程序) 在预选中，委员会根据提交的作品样本决定是否进入主程序。委员会以书面形式邀请申请人进入 主要程序(口试)。
主要程序(口试)
在主要程序中，申请人在考试台前进行至少 10 分钟、最多 30 分钟的口试。口试是指提交的作 品样本。
结果传达:能力倾向评估程序的总体结果将以书面形式传达。
结论: 本课程成绩要求较高，有过作品集为主的案例，但是成绩可能还是主要影响因素，不太 建议申请"
魏玛包豪斯大学,产品设计,Produktdesign,"1.官网:https://www.uni-weimar.de/en/art-and-design/studies/produktdesign-product-
design/product-design-ma/
2.申请方式:网上申请
https://weimar.gomovein.com/locallogin/5873933e547cd0744f8b4567/eng
3.截止日期: WS: 12.1-3.31 4.申请材料:
▪ 大学入学文凭(Abitur) ▪ 简历
▪ 动机信(一页，DIN A4)解释学习和工作的愿望以及学习的重点 ▪ 包含设计作品样本的作品集
▪ 大学学位证书副本(学士、文凭或同等学位)
▪ 您的身份证或护照复印件
▪ 签署声明，表明所提交的作品是由您创作的(下载原创性声明) ▪ 护照照片(用于学生证)
5.授课语言:或欧洲共同参考框架 (CEFR) C 1 级德语语言能力证明) 通过语言证书 DSH-2 或 TestDAF (4 x TDN 4)
申请时可以提交 B2，入学时再提交完整证书
6.匹配度说明:
入学要求是第一专业学士学位，标准学习时间为 8 个学期和 240 个学分。
 设计与管理:Gerrit Babtist 教授
 新兴技术和设计:Jun.-Prof. 托马斯·皮尔斯博士，https://thomaspearce.xyz/
 材料与环境:Martin Kuban 教授
 工业设计:Andreas Mühlenberend 教授，http://www.resolutdesign.com/
 学生作品:https://www.uni-weimar.de/en/art-and-design/studies/produktdesign- product-design/abschlussarbeiten-produktdesign/
7.硕士课程:
产品设计
- 工业设计
- 材料与环境
- 交互设计
- 产品设计与管理
产品设计的连续硕士学位课程以应用为导向，旨在传授设计实践和研究以及产品开发方面的领导 技能。产品开发。教授以下能力:
- 以结果为导向处理复杂的设计内容和过程。 - 技术-科学过程的调节、渗透和可视化
- 可持续设计发展的管理
- 服务作为创新产品设计的一个综合部分
- 科学理论、模型和方法的批判性思考和嵌入 - 记录社会、生态和经济之间的相互关系
- 跨学科合作的能力 结论:学校位置比较偏，录取难度比较高"
马格德堡大学,综合设计工程,Integrated Design Engineering,"1.官网:https://ide.ovgu.de/
2.申请方式:uni-assist 申请 https://www.uni-assist.de/ 3.截止日期: WS: 截止日期 7.154.申请材料:
 动机信，https://ide.ovgu.de/files/Downloads/IDE_letter_of_motivation_2017.pdf 包含个人资料和护照照片、居留许可(如果适用)的护照页的简单副本;
 中学毕业证书的正式认证副本和宣誓翻译件(德语或英语)，附有成绩和科目概述
 在本国通过的大学入学考试证明的正式认证副本和宣誓翻译件(如果有);
 科目和成绩的完整概述、文凭、大学学位(学士、硕士学位)以及已在其他大学完成的多
年学习证书的正式认证副本和宣誓翻译;注意:在欧洲高等教育区以外完成学士学位的硕
  士课程申请者在申请时必须已成功完成学士学位;
 官方认证的德语或英语语言技能证明副本，具体取决于课程:
 德语:完成德语考试的证书，根据 GER(欧洲共同参考框架) 至少达到 C1 ;
 作品集
 APS5. 授课语言:入学前通过“外国申请者大学入学德语测试”2 级(DSH 2)或 TestDAF 4 级证明 德语语言技能。(可以邮件询问申请语言成绩)6.匹配度说明:
- 学士学位，至少有 180 个学分/6 个学期，或来自基本法适用领域的大学文凭，或完成硕士学 位课程，或在工程科学、工业设计、工艺工程、体育和技术、电气工程、计算机视觉学、机电一 体化和工业工程领域或与学科相关的研究领域通过国家考试完成学位课程。
- 根据考试成绩计算的平均成绩至少为 3.0 分
- 专业能力证明，至少有
在设计能力领域有 10 个 CP、例如设计理论、设计技术等
在工程技术能力领域有 20 个 CP、例如 CAD、机械元件、材料、制造技术、IT 工程、质量管理 等。
- 只有在上述 30 个学分中缺少不超过 15 个学分的情况下，才有可能被录取。然后，必须在两个 学期内满足最多三个条件，才能被录取。
教授:课程主任 DR.-ING. DIPL.-MATH. MICHAEL SCHABACKER 学生作品:https://ide.ovgu.de/portfolio.html
7 硕士课程:
必修 综合设计工程:
 了解功能实现、设计、安全、质量、人体工程学、可制造性、可持续性、遵守时间表 和成本限制的相互影响，并能够将它们协同用于产品• 理解并应用不同但相互关联的产品视图
• 能够将流程描述和项目工作的知识应用于跨学科项目
• 了解并能够使用 IDE 工具(主要是创作、模拟和管理系统)
新材料制造与工艺:
产品设计&草稿;
应用施工技术:
商业计划:
人机交互:
IDE 项目
选修模块:
工程技术-机械工程:产品建模和可视化、CAX 应用和管理、技术创新管理、微重力研究、有限 元法、轻质结构力学、可持续性和流动性、计划生产 工程-信息学:创意工程、互动系统、高级数据库模型、计算机辅助几何设计、数据仓库技术、 数据管理、初创工程 工程技术-运动与技术:运动科学、研究方法、运动诊断程序、运动器材技术、体育技术、评估 与测试
产品设计与制图:形状、色彩、材质、可持续设计、计算机辅助草图设计、视觉设计基础 经济学:企业规划与管理、营销、销售、运营、人力资源、业务规划和策略等
结论: 专业偏向综合工程，申请前即要求语言成绩，综合申请难度不算大。"
柏林艺术大学,设计,Design(Product),"1. 官网:https://design.udk-berlin.de/ma-design-program
2. 申请方式:先通过 uni-assist 申请 VPDhttps://my.uni-assist.de/,
之后进行官网申请 https://my.udk- berlin.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y
3.截止日期: WS: 03.01-04.01 4.申请材料:
 其他基本材料
 大学学位证明
 银行对账单作为付款证明费用从 30 欧元起用于处理申请(如果是从国外转账，则需要付 款证明)或交款图(如果是网上银行)。不接受其他证据/收据(如银行转账单)
Kasse der UdK Berlin
Berliner Volksbank
IBAN: DE 72 1009 0000 8841 0150 46
BIC: BEVO DE BB XXX
Verwendungszweck: 35/01036, Studiengang, Name, Bewerbungsnummer
(付款原因:35/01036，学习课程，姓名，申请编号) Berliner Volksbank eG
Budapester Straße 35
10787 Berlin，Germany
对于国际汇款: 请确保你在转账时支付所有适用的转账费用
 PDF 作品集，其中包含您自己的创意或理论项目，视听作品样本可以作为超链接集成(横 向格式，最多 20 页，20 MB)
 PDF 简历，包含艺术和创意培训的所有阶段，包括最多一个主页链接。请说明 BA 是否完 成了 180、210 或 240 ECTS(最多 1 页 A4，1MB)
 PDF 概要、一封详细的动机信，解释个人目标和设计兴趣，并包括对自选 MA 主题的描述 和理由(250 至最多 500 字，2MB)
 MP4 视频，包含简短的个人介绍和动机(最多 1 分钟，100MB)总计最大 150MB
在申请门户成功申请并收到申请号后，请点击此链接以数字方式上传您的文件:
https://bemus.udk-berlin.de/5.授课语言:申请语言证明德语 B1，入学语言证明德语 C1
6.匹配度说明:
• 四年制学士学位或同等学历的大学学位
• 艺术天赋证明
• 对于国际申请者:足够的德语语言技能(申请时的德语 B1 语言证书和入学时的德语 C1 语言 证书)
• 仅具有以下资格的申请者:获得学士学位并在 ETCS 附近完成 180 或 210 学分的人必须在通 过入学考试后完成适应课程。60 或 30 个学分必须在最多两个学期内获得，其中至少 36 或 18 个 学分是通过学士学位的设计项目获得的。剩余的学分由学生在学士学位范围内的课程中获得。
学生作品:https://design.udk-berlin.de/
7.硕士课程:
设计工作室包括主题协调的跨学科课程。设计任务的复杂性及其与当前社会、技术、艺术和文化 发展的联系可以通过该模块的综合课程来传达和进行。
- 设计项目，可以从产品或时尚设计中选择，是课程的中心。它占据了课程的大部分时间，是该 模块的核心教学活动。该项目构成了构思和实现自己的设计过程的平台。另外，设计项目也可以 被看作是一个与学位课程的教学人员密切协调的自由项目。
- 在座谈会上，反思、展示和辩护自己的设计作品的能力得到了磨练。在座谈会上，会有定期的 临时报告，在报告中会使用各种媒体介绍、介绍和讨论设计步骤、
- 在必修的选修课领域，提供了技术/设计技术、文化研究、艺术和设计方法等科目的课程，这 些课程在内容上与设计项目的主题相关，使设计工作有了背景，并提供了科学基础。这也涉及到 性别、跨文化性和多样性研究的激烈问题。必修的选修领域提供了设置个人焦点的可能性。
短期项目服务于跨学院和跨大学合作的跨学科工作的个人剖析和测试。
结论: 学校方向偏向于理论和传统工业设计，申请难度较高"
柏林艺术大学,产品设计,Design & Computation,"1.官网:https://www.design-computation.berlin/de 2.申请方式:uni-assiat 申请
3.截止日期: WS:4.1-5.15
4.申请材料:
• 工作样本
• 作品/作品样本(作品集)可以以各种媒体形式呈现，例如文本、艺术设计作品集、科学
作品、工程作品、音频、电影等，也必须在申请截止日期内提交。工作/工作样本应展示 您在我们的跨大学、跨学科、研究型设计与计算硕士课程背景下的个人方法、与内容相 关的兴趣和技能。
• 技术要求:
o 数据格式:PDF、MP4、M4V、MOV
o 最多 6 个文件，每个文件最大 2 GB，总计最大 10 GB o 文件标签:
Surname_Firstname_DC_Filename(例如 Mustermann_Max_DC_Portfolio.pdf) o 文件通过 https://schicks.digital/
传输 将您的文件上传到 schicks.digital 网站(如果您愿意，可以使用密码) 并将生成的链接发送至 apply@design-computation.berlin
如果您设置了密码 如果因此，请通过单独的电子邮件向我们发送此信息。• 第一份专业大学证书的证明(包括翻译，如果不是以德语或英语颁发)，包括证书和科 目/成绩概述以及学分详细信息(成绩单)
• 身份证明文件 - 身份证或护照正面(包含个人数据)
• 最后就读的德国大学的入学或毕业证书
• 一封动机信(最多 2 页 DIN A4 页)，其中包含有关选择学位课程的具体原因、成功完
成“设计与计算”硕士课程的个人适合性以及您进一步职业生涯的可能目标的信息。5.授课语言:
申请时无需提供证明;注册时需要提供已完成 C1 级资格证明。 6.匹配度说明:
设计与计算硕士学位的正式入学要求是人文、教育、社会科学、经济学、法律、自然科学、工 程、数学、计算机科学、医学领域艺术和创意学位的第一个专业大学学位。
7.硕士课程
计算设计方面的科学工作、思辨设计思维、设计、计算和社会的跨学科研究 - 简介、工程科学 的前景、建模和仿真或:结构和系统"
柏林白湖艺术学院,产品设计,Produkt Design ,"1.官网:https://kh-berlin.de/studium/fachgebiete/bama-produkt-design/uebersicht
2.申请方式:在线申请 https://cms.kh- berlin.de/login/#/?info=auth.guestAccess.prohibited
3.截止日期: WS: 3.1-4.31，今年延长到 5.15
4.申请材料:
 1 个 PDF 文件格式的数字作品集(最大 20MB，最多 30 页)。不接受网页链接!对于外 部申请者来说，学士或期末论文的展示尤为重要。PDF 还可以包含视频链接(如果它们用 于说明过程或结果)
 以前的学术成就或学位证明(记录成绩单)
 一份合理且详细的总体提案。
 合理且详细的总体提案。 请在不超过 2 页的时间内描述您的主题重点以及您对 Weißensee
硕士学位的期望。向我们解释您想要解决哪些设计问题，或者如果您已经可以命名一个非 常具体的项目，请向我们描述。
 产品设计部门提供三种具体的设计视角:
移动性、 交互性和 实验性。如果您已经知道哪些观点与您特别相关，请告诉我们。
 另请说明您希望获得哪些技能作为硕士学位的一部分，或者我们可以为您的项目的成功做 出哪些贡献。
 然后，请准备一份最多 500 个字符的简短版本(摘要)，并将其放在项目详细描述的前 面。
 简历 - 迄今为止的学习课程、专业活动、实习、学习旅行、展览、与学习相关领域的工作 经验等信息。
 APS 证书 - 仅适用于在本国开始或完成大学学习的中国和越南申请人。
5.授课语言:
国际申请人必须在申请时提供至少一份与已完成的资格级别 B1/B2 相对应的语言能力证明。请 将您最新的语言证书或当前语言课程的课程确认函上传为 pdf 文件。入学时必须提交考试证 书:例如 Testdaf 4、DSH 2、telc Deutsch C1 Hochschule、DSD II、歌德学院的 C1 考试证 书。
6.匹配度说明:
具有至少 240 个学分 (ECTS) 的学科相关学位课程的第一个专业合格大学学位证明，或者如果
您仍在攻读学士学位，则需要提供当前的学习文件。
能够证明 CP 低于 240 的申请人有机会证明 240 CP 所需的能力水平。在此处将学习相关领域 的任何其他资格添加到您的申请中，例如 例如，在获得第一个大学学位后获得的专业经验、实 习、自由职业活动、项目和进一步培训。如果您无法提供任何额外资格的证据，您将接受单独的 考试。
产品设计方向教授:Prof. Nils Krüger，教授作品:https://buero-staubach.de/
交互方向教授:Prof. Thomas Ness，教授作品:https://designing-interactions.de/ 实验材料方向教授:Prof. Barbara Schmidt
学生作品:https://kh-berlin.de/alle-projekte
7 硕士课程:
弹性时间、事物的声音，医疗设计
CAD, SOLIDWORKS, Rhino， 过程可视化
8 选拔标准:
预选 入学考试和关于硕士论文题目建议的面试
结论:对于硕士论文方向的认可占比比较重"
哈勒艺术学院,工业设计,Industrial Design,"1.官网:https://www.burg-halle.de/design/industrial-design-ma/industrial-design/ 2.申请方式:网上申请:https://my.burg-
halle.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces 3.截止日期: ws:4.1-5.15
4.申请材料:
• 表格简历(PDF 格式)
• 大学学位证明(证书)或相应的表现证明(记录成绩单)(PDF 格式)
• 对所需学习课程的陈述(最多 3000 个字符，包括空格)，其中可以识别您的动机、期 望重点和硕士课程中所需的专业(模板:https://www.burg- halle.de/media/documents/Hochschule/Studium/Studieninteressierte/Bewerbung/st udienwunschbegruendung-ma.pdf)
• 作品集，最多可以使用 50 MB。
• 足够德语知识的证明
5.授课语言:德语，申请时可以使用低级证书
大学入学德语考试(DSH) 2 级 (DSH2)、测试:德语作为外语(TestDaF) 4 级、所有领域的 (TDN4)、德国大学德语文凭 KMK 2 级(DSD II)，歌德证书 C1 或 telc Deutsch C1 Hochschule。
6.匹配度说明:
进入 2 个学期的硕士课程需要至少完成 8 个学期的本科课程，包括 8 学期的设计学学士学位课 程，内容相当(至少 240 个学分)，或类似地，至少 8 个学期的学位课程内容。
入读 4 个学期的硕士学位课程需要成功完成至少 6 个学期的相同内容的学士学位课程(至少 18 学分)。或者，类似地，至少 6 个学期的学习课程.
学生作品网站:https://www.burg-halle.de/design/industrial-design-ma/industrial- design/studienarbeiten/
工业设计/战略产品和概念开发教授:Prof. Guido Englich 工业设计/材料和基于技术的产品开发教授:Prof. Mareike Gast 工业设计/产品与系统设计教授:Prof. Dieter Hofmann
7.硕士课程:
工业设计硕士课程的项目可以从以下领域自由选择:
设计方法与实验
使用数字工具进行设计。在文化、技术、社会和经济背景下进行实验。艺术和规划方法。学习和 尝试新的当代设计技术。
叙事性和感性设计
在叙事和感性设计重点中，重点是传达和获取叙事性、感性和诗意的创意表达。
材质 |技术 |可持续性
重点是对各种材料和技术的探索性检查，作为创新战略、系统和产品的起点——设计可持续的未 来。
战略产品和概念开发
教授设计中扩展的行动和任务领域的方法:从具体的产品开发到面向过程的设计概念，从解决建 设性设计任务到现实社会环境中与用户的包容和参与的交互相关的设计策略设计流程。
产品及系统设计
系统分析及其在设计过程中的重要性是本重点的重点。此外，有必要澄清社会、技术和文化背景 下系统的术语、含义和限制以及设计中的系统定义。
结论: 学校位置比较偏，传统设计强校，录取难度高"
哈勒艺术学院,玩与学设计,Design of playing and learning ,"1.官网:https://www.burg-halle.de/design/industrial-design-ma/design-of-playing-and- learning/
2.申请方式:网上申请:https://my.burg- halle.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces
3.截止日期: ws:4.1-5.15 4.申请材料:
• 表格简历(PDF 格式)
• 大学学位证明(证书)或相应的表现证明(记录成绩单)(PDF 格式)
• 对所需学习课程的陈述(最多 3000 个字符，包括空格)，其中可以识别您的动机、期 望重点和硕士课程中所需的专业(模板:https://www.burg- halle.de/media/documents/Hochschule/Studium/Studieninteressierte/Bewerbung/st udienwunschbegruendung-ma.pdf)
• 作品集，最多可以使用 50 MB。
• 足够德语知识的证明
5.授课语言:德语，申请时可以使用低级证书
大学入学德语考试(DSH) 2 级 (DSH2)、测试:德语作为外语(TestDaF) 4 级、所有领域的 (TDN4)、德国大学德语文凭 KMK 2 级(DSD II)，歌德证书 C1 或 telc Deutsch C1 Hochschule。
6.匹配度说明:
进入 2 个学期的硕士课程需要至少完成 8 个学期的本科课程，包括 8 学期的设计学学士学位课 程，内容相当(至少 240 个学分)，或类似地，至少 8 个学期的学位课程内容。
入读 4 个学期的硕士学位课程需要成功完成至少 6 个学期的相同内容的学士学位课程(至少 18 学分)。或者，类似地，至少 6 个学期的学习课程.
学生作品网站:https://www.burg-halle.de/design/industriedesign/spiel-und- lerndesign/studienarbeiten/
游戏和学习设计教授:Prof. Karin Schmidt-Ruhland 艺术辅助游戏与学习设计教授:Martin Hensel 工业设计/产品与系统设计教授:Svenja Münster
7.硕士课程:
对游戏和学习设计研究领域的不同参考能力的基本知识。学习设计。这包括以下领域: 教育 学、教学法、康复教育学、医学 人类学、电子游戏、游戏理论和玩具历史。
这些领域由客座讲师以系列讲座的形式提供，重点不同。
教授与游戏和学习领域有关的基本知识和应用实例，以及对社会发展和不同观点的审查所带来的 当前趋势的看法。
结论: 专注于儿童玩具和教育领域的设计"
