学校名称,专业中文名称,专业原名称（官网名称）,内容
班贝格大学,文化与传媒,Literatur und Medien,"
1、官网：
https://www.uni-bamberg.de/master/master-literatur-und-medien/
2.        授课语言：德语B2
3.        申请日期
        夏季 7.15 截止
        冬季 1.15 截止
4.        申请方式：网申+邮寄
https://qis.uni-bamberg.de/qisserver/servlet/de.his.servlet.RequestDispatcherServlet?state=wimma&stg=m&imma=einl
申请之后拿到申请表，打印签字并邮寄
5.        申请材料：无特殊
  
文件必须是公证件，具体情况说明如下：
 
6、匹配度说明+选拔标准：
①　本科成绩至少为“优秀”，标准学习期至少为六个科目学期，学分至少为180个ECTS分数
②　文学或文化研究科目至少为“良好”（2.5）的大学学位
③　对文学、电影、电视和其他媒体以及一般审美问题感兴趣
④　偏好对文化现象进行批判性和分析性观察
⑤　跨学科开放性

7. 硕士学习内容：
https://www.uni-bamberg.de/fileadmin/www.abt-studium/Modulhandbuecher/GuK/Literatur_und_Medien-MA/MHB_MA_Literatur_und_Medien.pdf

媒体科学基础 10ECTS
比较文学和媒体研究 10ECTS
文学、媒体和文化理论10ECTS
电影和图像研究 10ECTS
其他学科的延伸领域 至少15ECTS，最多30ECTS
文学、媒体和文化理论的扩展 10ECTS
电影和图像研究的拓展 10ECTS
实习模块：8周实习，至少两个文学、媒体和文化机构（如出版社、出版社、广播电视编辑部、文化办公室、档案馆、博物馆、基金会）

"
慕尼黑大学 ,对外德语,Deutsch als Fremdsprache ,"        官网： https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/deutsch-als-fremdsprache-master-hauptfach-4481.html
        •        申请日期：
1）冬季学期：3.1-7.15（没有夏季学期）
2） 材料审核时间：7.1-8.15
        •        申请方式：邮寄
邮寄地址： Ludwig-Maximilians-Universität                        Referat Internationale Angelegenheiten – Zulassung                        Geschwister-Scholl-Platz 1                        80539 München
        •        申请材料：基本材料（清单见附件）
此外还有申请表，表格已经下载到文件夹
        •        学制：4学期
        •        语言：德福5554
        •        选拔标准： 满足实习至少3个月
语言练习比例 <20% 或 36 ECTS 或 1080 小时
书面/家庭作业 > 6.67% 或 12 ECTS 或 360 小时或 30,000 个字符
科学宣传的比例>5% 或 9 ECTS 或 270 小时
专业知识占比内容 > 66% 或 120 ECTS 或 2070 小时
成绩（学位或当前日期）：2.7或更好（根据巴伐利亚公式换算）可能需要参加他们的面试或是笔试，也有可能是直接发zu。具体形式要看申请材料交上去之后的邮件通知

如有其他问题请联系： anne-katharina.harr@lmu.de
        •        本科授课内容
        •        基础德语作为外语, 6 ECTS,
        •        基础外来文化研究, 6 ECTS, 
        •        基础文学德语作为外语, 6 ECTS,
        •        基础多语言研究, 6 ECTS, 
        •        外语和专业语言实践课, 6 ECTS,
        •        高级多语言研究, 6 ECTS, 
        •        高级跨文化文学, 6 ECTS, 
        •        研究和实践领域 德语作为外语, 9 ECTS,
        •        高级语言学, 6 ECTS, 
        •        高级外来文化学, 6 ECTS, 
选修：
        •        语言学, 9 ECTS, 4 SWS
        •        多语言研究, 9 ECTS, 4 SWS
        •        外来文化学, 9 ECTS, 4 SWS
        •        跨文化文学, 9 ECTS, 4 SWS
        •        研究生上课内容
"
柏林自由大学,德语作为外语：文化中介,Deutsch als Fremdsprache: Kulturvermittlung,"1.官网https://www.fu-berlin.de/studium/studienangebot/master/deutsch_als_fremdsprache/index.html

2、申请日期：冬季申请20.04. - 31.05.2022
             夏季申请 Anfang Dezember bis Mitte Januar 12月初-1月中旬
3、申请方式：Uni-assist
4、申请材料：基本材料
5.学制：4学期
6、语言要求:德语C1水平
7. 是否NC：是
8. 匹配度说明及选拔标准：
1）学士学位，在语言学领域至少有20个LP，在德国文学领域至少有20个LP。
2）在外国大学或同等机构获得学位的申请者必须提供德语语言能力的证明。

9.硕士授课内容：
在 ""语言能力的扩展 ""研究领域，要达到欧洲共同语言参考框架（CEFR）C1.2级的德语能力。另外，已经具备德语水平的学生可以获得与留学目标国相关的A2级（CEFR）的语言技能。(如下图)

学位课程的一个必修部分是在国外逗留，在此期间要完成 ""深化学科知识 ""和 ""德语作为外语的实践 ""模块。海外学期是在柏林自由大学在其他欧洲或非欧洲国家选定的合作大学的德语语言和文化系度过的，学生在那里观察、教学和参与课程。

硕士论文旨在表明学生能够独立开展工作，并使用科学方法提出研究任务。成功完成学习课程后，可获得大学文科硕士（M.A）学位。


10.未来就业：
硕士课程的目的是为学生在德语作为外语的高等教育领域内从事专业活动做准备。

可能的工作环境包括：德国和国外的大学；语言学校；教科书出版商和媒体编辑部；文化机构（如歌德学院）；致力于文化交流的协会、基金会和组织；德国和国外的公司（如德语作为外语教师，作为区域官员，作为跨文化交流领域的培训师）。
"
柏林自由大学,德国文学,Deutschsprachige Literatur mit dem Schwerpunkt Neuere Literatur,"1.官网
https://www.fu-berlin.de/studium/studienangebot/master/deutschsprachige_neuereliteratur/index.html
2、申请日期：冬季申请20.04. - 31.05.2022
             夏季申请 Anfang Dezember bis Mitte Januar 12月初-1月中旬
3、申请方式：Uniassist
4、申请材料：基本材料

5.学制：4学期
6、语言要求:德语C1水平
7. 是否NC：是
8. 匹配度说明及选拔标准：
1）学士学位或同等的其他大学学位，在德语语言学/德语研究方面至少有60个学分，其中在现代德国文学领域至少有20个学分。
2）在外国大学或同等机构获得学位的申请者必须提供德语语言能力的证明。

9.硕士授课内容：

以现代文学为重点的德国文学硕士课程为学生提供方法论和分析技能，以当前处理现代德语文学（从1600年到现在）的研究问题为导向。其目的包括一方面深入了解理论形成及其历史方面，另一方面反映出对文学研究方法的处理。还获得了关于文学史学概念和文化史背景下的文学功能的高级知识。此外，对文学研究的跨学科参考的考察也发挥了重要作用。学生获得在德国文学研究领域进行独立科学研究的能力。

以德国现代文学为重点的德国文学硕士课程包括六个不同的模块。

硕士论文旨在表明学生能够独立开展工作，并使用科学方法提出研究任务。成功完成学习课程后，可获得大学文科硕士（M.A）学位。

10.未来就业：
毕业生不仅在学科上有深入的学术知识，而且还获得了先进的专业资格，如分析能力、沟通能力以及独立工作和承担责任的能力。      

德国文学硕士课程为学生的学术生涯以及文化和教育领域的专业活动做准备，例如在出版社、图书馆和档案馆、媒体以及文化或教育机构中。
结论：申请人文学学分都不多，且NC专业，故申请有风险。"
柏林工业大学,德语作为一种外国和技术语言,Deutsch als Fremd- und Fachsprache,"1.官网
https://www.tu.berlin/studieren/studienangebot/gesamtes-studienangebot/studiengang/deutsch-als-fremd-und-fachsprache-m-a
	•	申请日期：2.4-6.15
	•	申请方式：ua申请
https://my.uni-assist.de

	•	申请材料:无特殊
	•	匹配度说明：
	•	法律、医学、神学、人文、自然、社会或技术科学领域的第一个专业大学学位
	•	语言学或同等领域的至少20个学分（LP）
	•	英语B2+德语

	•	硕士学习内容
与语言学、传播学和媒体研究的相关学科密切合作
提供课程中包括自然、工程和经济学的相应课程
	•	德语作为一种外国和技术语言
	•	技术语言学
	•	变异语言学
	•	跨文化
	•	职业定位DaF


必修模块：职业知道；数字和媒体素养；技术和方法基础；技术语言；专业知识；跨文化；德语教学
	•	选拔标准：无
"
卡鲁 KIT,德国研究,Germanistik Magister Artium,"1. 官网：
https://www.sle.kit.edu/vorstudium/master-germanistik.php
2.  申请日期：
1）冬季 7.15 截止
2）夏季1.15截止
3. 申请方式：网申
4. 申请材料：无特殊
5. 匹配度说明：1）至少60ECTS来自德国文化课程模块
2）参考本科课程：文学研究：现代德国文学；文学：中世纪研究语言学
现代德国文学史中世纪研究；文学、文化、语言、媒体；近期德国文学史II；中世纪研究二；文学、文化、语言、媒体II；学士论文
3) 需要参加面试
选拔标准：
1）根据课程匹配度+大学成绩+面试成绩 "
弗赖堡大学,德语作为第二语言/跨文化德语和文学研究,German as a Second Language/Intercultural German language and literature studies,"	•	官网
https://www.studium.uni-freiburg.de/en/program-offerings/masters/info/697

	•	申请日期
冬季：5月1日-6月30日
夏季：3月31日
	•	申请方式：网申
https://campus.uni-freiburg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces

	•	申请材料
	•	匹配度说明
	•	获得外语德语/跨文化语言学和文学研究文学硕士的录取资格，两个模块合计最少60ECTS，至少15ECTS分配给每一个领域，如果没有达到，必须提交一份关于德国语言学和文学领域（每个约 1200 字）提供证据证明，每年申请季会有题目发布
	•	在德国大学获得德国研究学士学位或其他现代语言学学科的学士学位，平均成绩至少为 2.7，或在德国或外国大学获得同等的至少三年制学位2 满足合格要求
	•	德语C2，英语B2
	•	硕士学习内容
在以下九个模块里面选择

M1-德语作为外语/跨文化研究文学维度 5ECTS：理论与讲座+德语行为；语言学和文学
M2：语言方面13ECTS：研讨会：德语语法；高级研讨班结构讲座


M3:跨文化文学研究I：文学与文化研究的理论与方法讲座；跨文化领域研讨会
M4：跨文化文学研究II：文化认同领域研讨会；文化接触领域研讨会
M5：跨文化语言学8ECTS：比较文化领域语言学；多语种领域研讨会

M6:语言学系经验4ECTS：外语练习
M7：教学法：德语作为外语和第二语言的教学法；作为外国人的德语教学法和方法研讨会

M8：实习：教授实习德语；在国际文化机构实习

M9：研究方法：经验语言学方法；跨文化和后殖民理论；文学和文化研究；
M10:语言和移民
M11:口语和德语作为第二语言

M12:跨文化文学史
M13:旅行，流放和移民文学
"
弗赖堡大学,德国文学,German Literature,"1，官网
https://www.studium.uni-freiburg.de/en/program-offerings/all-degree-programs/info/273
	•	申请日期
冬季：5月1日-6月30日
夏季：3月31日
	•	申请方式：网申
https://campus.uni-freiburg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces

	•	申请材料
	•	匹配度说明
	•	专注于文学研究或在德国或外国大学获得至少三年的同等学位
	•	德语C2+英语B2
	•	德国文学史（划时代的作品和/或现代早期到现在的作者）和体裁和体裁发展（该领域的传统或转变）领域具有良好的知识戏剧、史诗和诗歌）以及经过范式证明的中高地德语语言和文学知识（中高地德语的语言史、中世纪的文化和文学史、作家、文本和/或从 9 世纪到16世纪）
其对应的本科课程学习方向为：
	•	语言部分涉及德语的结构和发展，其变体和变体（方言、寄存器、风格）、其在文本和口头互动中的使用及其认知处理
	•	“现代德国文学”领域涵盖了从16世纪到现在的德国文学。在历史和社会文化问题的背景下分析了这些文本，并考虑了比较方面以及文学理论和媒体理论的当前方法。
	•	“中世纪德国文学和语言”领域的重点是从16世纪初到16世纪德国文学的历史和社会文化背景以及该语言历史的前几个阶段。
	•	必须精通德语书面和口语。另一个先决条件是能够阅读外语，特别是英语的二级文献

	•	硕士学习内容
文化和文学研究基础：14ECTS
文学与文学研究的理论和方法讲座
文学与文学研究研讨班（重点研究1500年前的文学）
文学与文学研究研讨班（重点研究1500年后的文学）

语言学和媒体 16ECTS
练习课
语言学和医学领域的硕士研讨会（专注于1500年前的文学）
语言学和医学领域的硕士研讨会（专注于1500年后的文学）
必须修读两门选修课 中的一门。
文本分析、解释、文学理论（16 或 26 ECTS 学分）
伴随练习或指导的讲座
来自文本分析、解释、文学理论领域
文本分析，解释，文学理论领域的硕士研讨会（专注于1500年前的文学）
文本分析、解释、文学理论领域的硕士研讨班（专注1500后文学）

历时视角下的流派、形式、主题（16 或 26 ECTS 分）
从历时的角度讲流派，形式，主题领域的伴随练习或指导该领域的大师研讨会
历时视角下的流派、形式、主题（关注 1500 年前的文学）该领域的大师研讨会
历时视角下的流派、形式、主题（关注 1500 年后的文学）

文化背景下的文学（16 ECTS 学分）
研究实践（2 ECTS 学分）

"
图宾根大学,德语语言学,Germanistische Linguistik,"1. 官网：
https://uni-tuebingen.de/fakultaeten/philosophische-fakultaet/fachbereiche/neuphilologie/deutsches-seminar/studiengaenge/ma-studiengaenge/ma-germanistische-linguistik/
2. 申请日期：
1）夏季 1.15截止
2）冬季7.15截止
3. 申请方式：网申
https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces
4. 申请材料：无特殊
5. 匹配度说明：
1）绩点2.5以上
2）参考本科课程：

现代语言学的方法论与基础；语言学：德语语法；语言发展
6. 硕士学习方向：

	•	在第一学期，您将在“语言形式”和“语言意义”（模块 GLI-MA-01）的核心领域建立广泛的语言基础。熟悉语言学研究的方法论基础，例如语言学的形式基础、实验方法、语料库分析程序等，并反思语言学的接口（模块 GLI-MA-02）或者，可以从选修数字人文开始
	•	在第二学期，您通过选择四个档案领域之一为您的专业档案奠定基础。您将参加总共 4 场高级研讨会，其中 2 场在您选择的个人资料中（模块 GLI-MA-03 和 -04）。
	•	在第 3 学期，您将在个人资料区域的项目研讨会的指导下开展您的第一次学习，并通过参加硕士座谈会为您的硕士论文（模块 GLI-MA-06 和 -08）制定任务，其中其他事情。此外，您将在第一至第三学期参加其他大学或非大学（会议、研讨会）相关活动，作为未分级选修模块 GLI-MA-05 和 GLI-MA-07 的一部分。
	•	在第 4 学期，您以硕士论文的形式开展自己的研究项目，并将其提交给研究座谈会。这和口语期末考试构成了考试模块 GLI-MA-09。
"
图宾根大学,德国文学,Deutsche Literatur ,"非NC
德语DSH II /德福16 +英语B2

1. 官网：
https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/detail/course/deutsche-literatur-master/#c76-course-topics
2. 申请日期：
1）夏季 1.15截止
2）冬季7.15截止
3. 申请方式：网申
https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces
4. 申请材料：无特殊
5. 匹配度说明：
1）绩点2.5以上
2）参考本科课程：

        •        现代德国文学研究的方法论基础
        •        模块：Ger-BA-01
        •        研讨会：现代德国文学概论讲座：现代德国文学概论
        •        现代语言学的方法论和科学基础
        •        模块：Ger-BA-02 研讨会：语言学概论讲座：语言学概论
        •        日耳曼中世纪研究的方法论基础
        •        模块：Ger-BA-03 研讨会：德语和中世纪文学史导论讲座：德语和中世纪文学史导论
        •        模块：Ger-BA-04
        •        NDL：文学史与文学理论
        •        NDL 的 NDL 研讨会讲座*
        •        模块：Ger-BA-05
        •        语言学：德语语法
        •        研讨会：德语语法讲座：德语语法
        •        模块：Ger-BA-06
        •        中世纪文学：文本、主题、观点
        •        中世纪研究的中世纪研究研讨会讲座*
        •        模块： Ger-BA-09（= 现代德国文学专业）或 Ger BA-10（= 德国语言学专业）或 Ger-BA-11（= 德国中世纪研究专业）
        •        具有考试成绩的重点领域的高级研讨会：家庭作业
        •        来自重点领域的高级研讨会，伴随学期的投资组合
        •        来自其他两个领域之一的高级研讨会，包括笔试或口试
        •        文学学士论文（将写在重点领域）

6. 硕士学习方向：
        •        1. 基本模块：时代、传统、创新[4个中的3个可自由选择]
        •        1.1 中世纪（8-15世纪）的德语文学
        •        1.2 中世纪晚期和近代早期（15-18世纪）的德语文学
        •        1.3 近期德国文学（18-20 世纪）
        •        1.4 当代德国文学（20-21 世纪）
        •        2. 重点模块：历史（可能还有理论）专业[可从 1.1-4 和 3 中选择。]
        •        3.文学与文学史理论（理论、美学、诗学）
        •        4. 扩展模块：上下文和实践知识
"
