学校名称,专业中文名称,专业原名称（官网名称）,内容
亚琛工业大学,材料科学,Materialwissenschaften,"学费：无
1. 官网：
https://www.rwth-aachen.de/go/id/bnqh
2. 授课语言：德语C1
3. 是否NC：否
4. 申请日期：
①　冬季申请：3月1日截止
②　夏季申请：9月1日截止
5. 申请方式：在官网申请
官网申请：https://online.rwth-aachen.de/
6. 申请材料：申请时无需APS和语言
7. 匹配度说明+选拔标准：
数学A和数学B模块学习目标的21学分
实验物理和固体物理模块学习目标的20学分 
物理化学和量子力学模块学习目标的9学分
无机化学和聚合物技术基础模块学习目标的16学分
相化学和分析模块学习目标的7学分 
材料学，晶体学A和晶体学B模块学习目标的20学分
电技术以及电子材料与元件基础模块学习目标的11学分
技术力学模块学习目标的6学分 
玻璃技术，原型和成形技术以及材料科学模块学习目标的20学分


自2022年夏季学期开始，所有欧盟外申请人需要参加Test AS德适考试，分数是“核心测试”和“工程科学”模块的两个得分的平均值，要求排名前20%
8. 硕士学习内容：

        跨学科必修领域 16 学分 
        专业深化方向 1 必修领域 8 - 12 学分 
        专业深化方向 1 选修领域 15 - 19 学分 
        专业深化方向 2 必修领域 8 - 12 学分 
        专业深化方向 2 选修领域 15 - 19 学分
        非技术学科 9 学分 
        项目工作 11 学分 
        硕士论文 30 学分 
        总计 120 学分
在硕士学习期间，将从以下四个专业深化领域中选择两个：
        纳米技术
        电子材料
        表面技术
        结构材料
Modulhandbuch：
https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/pl/ui/$ctx/wbModhbReport.downloadPublicMHBVersion?$ctx=design=ca2;header=max;lang=de&pOrgNr=1&pStpStpNr=461
"
柏林工业大学,材料科学 ,Werkstoffwissenschaft,"学费：无
1. 官网：
https://www.tu.berlin/studieren/studienangebot/gesamtes-studienangebot/studiengang/werkstoffwissenschaften-m-sc
2. 授课语言：德语C1
3. 是否NC：否
4. 申请日期：
①　冬季申请：5月1日到8月31日
②　夏季申请11月1日到2月28日
5. 申请方式：通过UA申请
官网申请：https://www.uni-assist.de/
6. 申请材料：无特殊
7. 匹配度说明+选拔标准：
硕士入学要求+选拔标准：
 
只写了需要满足对应的大学学位，没有明确的录取规则
录取规则连接：
https://www.static.tu.berlin/fileadmin/www/10000000/Studiengaenge/StuPOs/Fakultaet_III/Werkstoffwiss_M.Sc._2009.pdf

我们查看其对应的本科课程
30 学分 数学、自然科学和工程科学基础 
84 学分 专业基础 
12 学分 数学、自然科学和工程科学以及跨学科学习 
24 学分 专业选修领域 
12 学分 自由选修 
6 学分 研究或行业实习 
12 学分 学士/硕士论文

8. 硕士学习内容：
课程设计：
        复合材料和层合材料 10 学分
        检测方法 14 学分
        深化 I 24 学分
        深化 II 24 学分
        硕士论文 30 学分
        职业实习 6 学分
        自由选择 12 学分"
卡尔斯鲁厄理工学院,材料科学与技术,Materialwissen¬schaft und Werkstoff¬technik,"学费：1500欧/学期
1. 官网：
https://www.sle.kit.edu/vorstudium/master-materialwissenschaft-werkstofftechnik.php
2. 授课语言：德语C1，一些课程用英语授课，申请时可以用B1证书
3. 是否NC：否
4. 申请日期：
 
①　冬季申请：9.30截止
②　夏季申请：3月31日截止
5. 申请方式：在官网申请
官网申请：https://bewerbung.studium.kit.edu/prod/campus/Portal/Start
6. 申请材料：无特殊
7. 匹配度说明+选拔标准：
8.匹配度说明：

申请人必须拥有涵盖以下内容的相关学士学位：金属和材料物理、陶瓷、聚合物、功能材料、高等数学、技术力学、实验物理、无机和应用化学。
我们查看其对应的本科专业课程
课程名字	德国学分
高数	21
无机化学	11
有机化学	5
力学	14
实验物理/材料物理	29
陶瓷材料	12
高分子材料	6
固体的电子特性	5
被动元件	5
结构材料	5
材料加工技术	6
材料与接触力学	4
计算机科学	6
建模与仿真	5
应用化学	5
流变学	6
可持续生产经济	5
分析：总体来看基本满足要求
9.硕士课程
 
120个学分在内容上的分布如下：
必修30CP
专业方向1 16CP
专业方向2 16CP
实习 16CP
深化方向 12CP
关键技能 4CP
硕士论文30 CP
专业方向可选择：
	材料加工技术
	计算材料科学
	建筑材料
	功能材料"
弗莱堡大学,可持续材料,Sustainable Materials,"学费：1500欧/学期
1. 官网：
https://www.studium.uni-freiburg.de/de/studienangebot/master/info/403?set_language=de
2. 授课语言：
只在弗莱堡大学就读的方向：德语B2+英语B2
弗莱堡大学和斯特拉斯堡大学共同培养：英语B2
3. 是否NC：否
4. 申请日期：
冬季申请：3月1日到7月15日
5. 申请方式：在官网申请
https://campus.uni-freiburg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces
6. 申请材料：无特殊
7. 匹配度说明+选拔标准：
对于与斯特拉斯堡大学联合培养的方向：提供20个学习位置，并评判成绩、动机信和推荐信，分成1-5的等级，动机信也可由法语撰写。
学分要求：
至少20个ECTS学分，在化学或材料/材料科学领域
数学和物理学科总共至少获得了15个ECTS学分。

9.硕士课程

为期 4 个学期的课程，为学生提供有关选定材料和聚合物科学的广泛、高水平的科技知识主题
对材料的物理和化学性质以及聚合物的应用和技术的各个其他领域进行了有根据的介绍 。 
重点模块（可选）：以高分子化学和技术为基础，提供材料科学、生物/生命科学、环境科学和/或工程科学以及微系统技术和软纳米技术的深入知识。"
耶拿大学,材料科学,Werkstoffwissenschaft,"学费：无
1. 官网：
https://www.uni-jena.de/msc-werkstoffwissenschaft
授课语言：德语C1，条录德福4433
2. 是否NC：否
3. 申请日期：
冬季：4月1日-7月15日
夏季：12.1月-1月15日
4. 申请方式：在官网申请
https://friedolin2.uni-jena.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y
5. 申请材料：无特殊
6. 匹配度说明+选拔标准：

	拥有“理学学士”学位的材料科学专业毕业生有资格进入材料科学硕士学位课程学习。
	拥有相关学科学位的毕业生若学位等同，则亦将被录取。等同性由考试委员会通过个案审查确定。个案审查将考虑大学成绩、学习期间、职业经历和申请人的动机，以及可能的额外职业活动。邀请合适的申请人进行入学面试是可能的。录取可能附带条件，需在规定期限内完成。
查看其对应的本科课程

课程名字	德国学分
高数	21 CP
物理	18 CP
无机化学	5 CP
有机化学	5 CP
物理化学	5 CP
计算机	13 CP
材料学	63 CP


9.硕士课程
 
“材料科学”理学硕士的标准学习期限为4个学期，分为三个学习阶段。
	在两个学期的第一阶段，自然科学和材料科学的一般基础训练在必修模块“固体物理”和“计算机辅助材料科学”中进行。同时，学生选修专业领域中的两个专业领域“玻璃与光学材料”、“能源与环境技术材料”和“生物材料”课程作为专业模块。此外，学生可以通过广泛的必修选修课在学习中设置个人口音
	第二阶段学习从第三学期开始，除了必修选修模块外，还包括“高级实习”和“科学工作和项目规划简介”模块，使学生有可能在国外学习一个学期。 “高级实习”模块旨在通过实施较长时间的研究实习，系统地建立材料科学选定领域的专业知识。在“科学工作和项目规划简介”模块中，学生学习如何从国际文献中独立获取知识，批判性地检验科学成果并为自己的目标得出结论。在准备硕士论文的过程中，他们还通过积极参与研究任务和展示科学成果来学习科学工作的方法。最后， 课程的第三阶段以硕士论文结束。
三个研究方向：
	玻璃和光学材料
	能源和环境技术材料
	生物材料
Modulhandbuch：
https://friedolin.uni-jena.de/download/modulkataloge/de/88_177_Wewi_2023.pdf
"
维尔茨堡大学,功能材料,Funktionswerkstoffe,"学费：无
1. 官网：
https://www.chemie.uni-wuerzburg.de/matsyn/studiengang-funktionswerkstoffe/master-interessierte/
授课语言：德语C1，条录德语B2
2. 是否NC：否
3. 申请日期：
冬季：7月15日截止
夏季：1月15日截止
申请方式：先在UA申请VPD，再在官网申请
①　UA申请VPD：https://www.uni-assist.de/
②　官网申请：
https://www.chemie.uni-wuerzburg.de/matsyn/studiengang-funktionswerkstoffe/master-interessierte/
4. 申请材料：无特殊
5. 匹配度说明+选拔标准：

	物理和电子学20 ECTS
	15 ECTS数学（分析、线性代数、微分方程）
	化学35 ECTS （无机、有机和物理化学）
	20 ECTS材料科学和/或生物材料
分析：满足匹配度要求

均分要求：＞2,49，如果不满足会被邀请参加口头面试
9.硕士课程

六个研究方向：
	生物医学中的功能材料
	高分子功能材料
	能源技术
	半导体结构
	有机功能材料与应用
	图像与光谱学
Modulhandbuch：
https://www.chemie.uni-wuerzburg.de/matsyn/studiengang-funktionswerkstoffe/master-interessierte/"
锡根大学,材料科学和材料工程,Materialwissenschaft & Werkstofftechnik,"1. 官网：
https://www.uni-siegen.de/zsb/studienangebot/master/matwerk.html?m=e
2. 授课语言：德语C1
3. 申请时间：
①　冬季：非NC的话，是7.29-9.20

②　夏季：非NC的话，1.29-3.22

4. 申请方式：官网申请
https://www.mb.uni-siegen.de/department/pruefungsamt/downloads/bewerb/?lang=de
5. 申请材料：
6. 匹配度说明+选拔标准：

①　绩点最低3.0
②　自然科学/工科类的学士学位即可
没有其对应的本科学习内容
7. 硕士学习内容：
https://www.mb.uni-siegen.de/department/pruefungsamt/downloads/fpos/32_2023_fpo-m_matwerk.pdf

材料科学与材料工程的一般必修领域： 理论基础
①　技术材料的理论原理
②　工程科学的材料科学实验方法
③　自然科学的材料科学实验方法
④　材料科学物理学
自然科学补习的必修领域
①　实验物理 4
②　MatWerk 的物理实践课程
③　无机化学 1
④　物理化学
 
工程科学补充必修领域
①　弹性力学
②　高级材料强度
③　技术热力学和流体动力学
④　工程设计
⑤　成型技术和自动化
专业实验室和研讨会
一般必修选修领域
跨学科必修选修领域
必修选修领域 个别补充课程
毕业论文"
萨尔大学,先进材料与工程,Advanced Materials Science and Engineering,"收学费，非欧盟的学生4500欧/学期
1. 官网：
https://www.uni-saarland.de/studium/angebot/master/amase.html
2. 授课语言：英语B2+德语C1
双学位
https://www.eusmat.net/international-studies/master/amase/application/application-requirements/
3. 申请时间：
https://www.eusmat.net/international-studies/master/amase/application/deadlines/
不同项目的申请时间不一样
4. 申请方式：网申
5. 申请材料：
6. 匹配度说明+选拔标准：

入学要求
①　- 材料科学、物理学、化学或其他自然科学或工程学学科的学士学位或同等大学学位；化学或自然科学或工程学的其他学科
②　- 具备入学大学教学语言的足够语言能力"
萨尔大学,材料科学与工程,Materialwissenschaft und Werkstofftechnik,"1. 官网：
https://www.uni-saarland.de/studium/angebot/master/matwerk.html
2. 授课语言：德语,歌德B2；DSH 2；德福16

3. 申请时间：随时可以申请
4. 申请方式：官网申请
5. 申请材料：无特殊
6. 匹配度说明+选拔标准：
查看其本科学习内容：
https://www.uni-saarland.de/fileadmin/upload/studium/angebot/mhb_ba/2023/MHB_BA_MWWT.pdf

工程师数学 1
(9 CP/ 6 SWS)
水利与环境工程学院物理 1（6 CP / 4 SWS）
普通化学（辅修科目）（4 CP / 2.5 SWS）
静力学（6 CP / 4 SWS）
材料科学导论（4 CP / 3 SWS）
工程师数学 2（9 CP / 6 SWS）
科学数据处理 1（3 CP / 3 SWS）
水利和水资源技术物理学 2
(6 CP / 4 SWS)
普通化学基础实践课程（辅修科目）（2 CP / 3 SWS）
弹性力学（6 CP / 4 5 SWS）
材料科学实践 A1 （3 CP / 3 SWS）
选修领域（6 CP）
科学数据处理 2（3 CP / 3 SWS）
热力学基础（6 CP / 4 SWS）
系统开发方法 1 (5 CP / 4 SWS)
显微镜和光谱学实验基础（6 CP / 4 SWS）
MW - 实践课程 A2（3 CP / 3 SWS）
数学（MWWT）（9 CP / 6 5WS
水利和水资源技术专业物理 3 （4 CP / 3 SWS）
高分子材料 1 (3 CP / 2 SWS)
高分子材料 2（3 CP / 2 SWS）
材料物理学 1（9 CP / 6 SWS）
MW实践课程B1（3 CP / 2 SWS）
必修选修 MINT（5 CP）
实习 B2/项目实习（6 CP）
生产工程（6 CP 6 / SWS）
材料行为构成理论（3 CP / 2 5WS）
材料行为机械性能（3 CP / 2 SWS）
衍射方法（5 CP / 4 SWS）
必修选修 MINT（5 CP）
学士论文（12 CP）
无机材料：玻璃陶瓷（3 CP / 2 SWS）
无机材料：金属（3 CP / 2 SWS）
功能材料（SCP / 4 SWS）

7. 硕士学习内容：
https://www.uni-saarland.de/fileadmin/upload/studium/angebot/master/MBH2023_2024/mhb-mwwt.pdf

一般必修单元
方法论 2
方法论 2
材料物理学 2
界面和微结构物理学
研讨会和实践培训
研讨会 MWWT 1
研讨会 MWWT 2
MWWT 实践课程

材料科学必修专业模块（至少选修 24 个 CP）
衍射方法
材料物理学家的计算机模拟
功能材料专业
连续介质力学
材料建模
方法论 3 显微镜
方法论 4 显微镜 III

材料工程必修专业模块
(至少选修 24 个 CP）
制造工艺
机械加工和烧蚀制造工艺
精细加工技术
陶瓷技术
玻璃应用
高性能陶瓷
激光处理
激光理论
激光应用
轻型系统 1
轻质系统 2
聚合物材料 3
聚合物材料 4

必修选修模块（至少选修 15 个 CP）
微纳米结构的三维分析
三维分析基础
3D 分析 Il - 高级方法
使用智能材料系统的执行器和传感器
非晶态金属
非晶系统动力学
能源技术
电化学
高效能源利用材料
能源技术中的材料和系统实践课程
高级力学
计算力学
流体力学
分析力学
混合材料
混合材料和纳米复合材料
智能聚合物
功能涂料
化学材料设计
微观力学
方法 5 断裂力学
方法论 6 微结构力学和损伤力学
力学
显微镜 2
方法论 7 纳米和微观力学测量方法
方法论 9 原子力显微镜的应用
物理声学

关键能力（最多 4 CP）
指导、委员会工作、志愿工作
公认的成就
在国外逗留或 学位课程或学习地点变更
硕士论文"
拜罗伊特大学,材料科学与工程,Materials Science & Engineering,"1. 官网：
https://www.uni-bayreuth.de/en/master/materials-science-engineering
2. 授课语言：德语授课B2;DSH2
3. 申请时间：
①　冬季：6.15ddl
②　夏季：1.15ddl

4. 申请方式：网申
5. 申请材料：至少 12 周的工业实习证明，实习必须在毕业后一年内完成
6. 匹配度说明+选拔标准：
拜罗伊特大学材料科学与材料工程学士学位或同等学历

参考其本科学习内容：
https://www.ing.uni-bayreuth.de/pool/dokumente/gesamtmodulhandbuch-bachelor/2024-03-06_GMH.PDF
https://www.ing.uni-bayreuth.de/pool/dokumente/mat-werk-bachelor/ab-ws20-21/studienplan-bachelor-matwerk.pdf
学习计划

数学;化学基础知识；技术机械；生物化学；生产与技术管理模块；电气工程模块（经济与材料科学电气工程，工业工程和材料科学电气工程）；技术热力学

材料科学模块（金属的结构和性质；聚合物的结构和性质；陶瓷的结构和性能；材料加工基础；功能材料的结构和特性）；化学工艺工程（反应技术）；一般工艺技术（机械工艺学；热加工工程）；
适合材料的设计和模拟模块
面向材料的设计
有限元应用
材料模拟基础

传热和传质模块
传热和传质
金属模块
宪法理论 I
金属半成品

陶瓷和玻璃单元
陶瓷材料技术
玻璃和玻璃陶瓷的生产和特性
结构陶瓷和纤维复合陶瓷

聚合物模块
塑料加工
材料力学与测试
聚合物复合材料
7. 硕士学习内容：
https://www.ing.uni-bayreuth.de/pool/dokumente/gmh-ma-26-09-23.pdf
https://www.ing.uni-bayreuth.de/pool/dokumente/matwerk-master/ab-ws-23-24/studienplan-2023.pdf"
